problemType, makespan, GRASP, diff
j3021_1, 84, 92, 8
j304_9, 38, 39, 1
j3032_8, 54, 55, 1
j3048_9, 59, 60, 1
j3022_6, 52, 60, 8
j3024_8, 38, 39, 1
j3041_4, 78, 81, 3
j3034_6, 52, 53, 1
j3015_3, 48, 50, 2
j302_7, 47, 49, 2
j307_10, 49, 52, 3
j3010_10, 41, 43, 2
j3019_7, 57, 58, 1
j3038_2, 54, 55, 1
j3037_1, 79, 80, 1
j3016_4, 47, 48, 1
j3042_3, 60, 60, 0
j3043_2, 43, 51, 8
j3017_5, 47, 48, 1
j3039_3, 54, 56, 2
j3018_6, 62, 71, 9
j3014_2, 53, 55, 2
j3035_7, 61, 64, 3
j303_6, 54, 55, 1
j3040_5, 65, 66, 1
j3034_10, 47, 48, 1
j3025_9, 84, 83, -1
j3023_7, 60, 65, 5
j305_8, 67, 68, 1
j3033_9, 65, 64, -1
j3013_9, 71, 87, 16
j3022_2, 45, 51, 6
j3021_5, 55, 60, 5
j3044_9, 64, 65, 1
j308_9, 39, 40, 1
j3037_5, 80, 83, 3
j3019_3, 83, 84, 1
j3038_6, 63, 66, 3
j301_4, 62, 63, 1
j3042_7, 66, 70, 4
j3028_8, 53, 54, 1
j3036_10, 59, 60, 1
j302_3, 43, 46, 3
j3034_2, 44, 45, 1
j3015_7, 47, 50, 3
j303_2, 40, 41, 1
j3014_6, 35, 37, 2
j3035_3, 60, 61, 1
j3040_1, 51, 52, 1
j3029_9, 97, 109, 12
j3043_6, 58, 61, 3
j3039_7, 56, 57, 1
j3018_2, 55, 56, 1
j3017_1, 64, 67, 3
j3036_4, 59, 60, 1
j305_10, 70, 76, 6
j3012_10, 57, 58, 1
j309_8, 91, 101, 10
j3045_8, 94, 98, 4
j3020_4, 43, 44, 1
j3023_3, 46, 48, 2
j3012_8, 35, 36, 1
j3013_8, 106, 107, 1
j301_10, 45, 51, 6
j3016_10, 51, 52, 1
j3022_3, 63, 63, 0
j3044_8, 49, 50, 1
j3021_4, 70, 71, 1
j308_8, 51, 52, 1
j3019_2, 58, 59, 1
j3038_7, 65, 66, 1
j3037_4, 83, 85, 2
j3016_1, 51, 52, 1
j301_5, 39, 37, -2
j3028_9, 62, 63, 1
j3042_6, 66, 69, 3
j3041_1, 86, 96, 10
j302_2, 51, 49, -2
j3034_3, 69, 73, 4
j3015_6, 67, 73, 6
j303_3, 57, 58, 1
j3014_7, 50, 53, 3
j3035_2, 53, 54, 1
j3043_7, 52, 58, 6
j3029_8, 80, 91, 11
j3036_5, 64, 65, 1
j3039_6, 69, 72, 3
j3018_3, 56, 57, 1
j309_9, 63, 65, 2
j3020_5, 61, 62, 1
j3032_10, 51, 52, 1
j3045_9, 82, 86, 4
j3023_2, 53, 54, 1
j3012_9, 52, 53, 1
j3030_10, 53, 57, 4
j304_8, 55, 56, 1
j3032_9, 65, 66, 1
j3022_7, 60, 61, 1
j3048_8, 44, 45, 1
j3041_5, 99, 96, -3
j3024_9, 43, 44, 1
j3034_7, 58, 61, 3
j3015_2, 47, 48, 1
j302_6, 47, 49, 2
j301_1, 43, 44, 1
j3016_5, 51, 52, 1
j3019_6, 49, 52, 3
j3038_3, 59, 58, -1
j3042_2, 50, 53, 3
j3048_10, 54, 55, 1
j3043_3, 57, 63, 6
j3039_2, 54, 55, 1
j3018_7, 48, 49, 1
j3017_4, 49, 51, 2
j3036_1, 66, 67, 1
j3014_3, 58, 74, 16
j3029_10, 76, 79, 3
j3035_6, 58, 59, 1
j303_7, 48, 55, 7
j3025_8, 69, 72, 3
j3040_4, 57, 58, 1
j3023_6, 48, 51, 3
j303_10, 59, 60, 1
j305_9, 49, 48, -1
j3014_10, 61, 63, 2
j3033_8, 61, 65, 4
j3020_1, 57, 58, 1
j3037_10, 81, 71, -10
j3015_9, 54, 55, 1
j3024_2, 58, 59, 1
j3028_6, 55, 56, 1
