problemType, makespan, GRASP, diff
j3021_1, 0.21, 0.84, 0.63
j304_9, 0.01, 0.43, 0.42
j3032_8, 0.01, 0.53, 0.52
j3048_9, 0.0, 0.6, 0.6
j3022_6, 1.95, 0.62, -1.33
j3024_8, 0.01, 0.48, 0.47
j3041_4, 2.75, 0.95, -1.8
j3034_6, 0.01, 0.65, 0.64
j3015_3, 0.03, 0.51, 0.48
j302_7, 0.01, 0.5, 0.49
j307_10, 0.16, 0.52, 0.36
j3010_10, 9.6, 0.51, -9.09
j3019_7, 0.01, 0.53, 0.52
j3038_2, 0.06, 0.74, 0.6799999999999999
j3037_1, 0.23, 0.99, 0.76
j3016_4, 0.01, 0.51, 0.5
j3042_3, 0.05, 0.79, 0.74
j3043_2, 0.01, 0.6, 0.59
j3017_5, 0.06, 0.58, 0.52
j3039_3, 0.01, 0.63, 0.62
j3018_6, 0.02, 0.71, 0.69
j3014_2, 11.69, 0.53, -11.16
j3035_7, 0.01, 0.69, 0.6799999999999999
j303_6, 0.01, 0.53, 0.52
j3040_5, 0.01, 0.69, 0.6799999999999999
j3034_10, 0.01, 0.54, 0.53
j3025_9, 1.57, 0.86, -0.7100000000000001
j3023_7, 0.01, 0.71, 0.7
j305_8, 4.33, 0.74, -3.59
j3033_9, 0.04, 1.27, 1.23
j3013_9, 239.17, 0.9, -238.26999999999998
j3022_2, 0.02, 0.51, 0.49
j3021_5, 0.55, 0.63, 0.07999999999999996
j3044_9, 0.01, 0.62, 0.61
j308_9, 0.01, 0.43, 0.42
j3037_5, 0.23, 0.84, 0.61
j3019_3, 0.0, 0.75, 0.75
j3038_6, 0.02, 0.69, 0.6699999999999999
j301_4, 0.64, 0.59, -0.050000000000000044
j3042_7, 0.07, 0.75, 0.6799999999999999
j3028_8, 0.01, 0.61, 0.6
j3036_10, 0.0, 0.62, 0.62
j302_3, 0.01, 0.44, 0.43
j3034_2, 0.01, 0.52, 0.51
j3015_7, 0.01, 0.44, 0.43
j303_2, 0.03, 0.41, 0.38
j3014_6, 0.75, 0.46, -0.29
j3035_3, 0.01, 0.74, 0.73
j3040_1, 0.01, 0.59, 0.58
j3029_9, 31.09, 1.16, -29.93
j3043_6, 0.03, 0.65, 0.62
j3039_7, 0.03, 0.71, 0.6799999999999999
j3018_2, 0.01, 0.56, 0.55
j3017_1, 0.4, 0.69, 0.2899999999999999
j3036_4, 0.01, 0.66, 0.65
j305_10, 2.84, 0.69, -2.15
j3012_10, 0.0, 0.49, 0.49
j309_8, 14.26, 0.91, -13.35
j3045_8, 0.37, 1.08, 0.7100000000000001
j3020_4, 0.01, 0.54, 0.53
j3023_3, 0.03, 0.53, 0.5
j3012_8, 0.01, 0.52, 0.51
j3013_8, 23.8, 1.03, -22.77
j301_10, 0.04, 0.48, 0.44
j3016_10, 0.01, 0.51, 0.5
j3022_3, 0.03, 0.66, 0.63
j3044_8, 0.01, 0.56, 0.55
j3021_4, 1.09, 0.79, -0.30000000000000004
j308_8, 0.01, 0.5, 0.49
j3019_2, 0.01, 0.78, 0.77
j3038_7, 0.03, 0.81, 0.78
j3037_4, 0.25, 1.04, 0.79
j3016_1, 0.01, 0.48, 0.47
j301_5, 0.48, 0.47, -0.010000000000000009
j3028_9, 0.01, 0.56, 0.55
j3042_6, 0.03, 0.75, 0.72
j3041_1, 0.17, 1.04, 0.87
j302_2, 0.02, 0.55, 0.53
j3034_3, 0.01, 0.79, 0.78
j3015_6, 0.02, 0.6, 0.58
j303_3, 0.02, 0.55, 0.53
j3014_7, 41.86, 0.55, -41.31
j3035_2, 0.01, 0.64, 0.63
j3043_7, 0.02, 0.66, 0.64
j3029_8, 353.74, 0.91, -352.83
j3036_5, 0.01, 0.68, 0.67
j3039_6, 0.01, 0.83, 0.82
j3018_3, 0.01, 0.61, 0.6
j309_9, 39.98, 0.67, -39.309999999999995
j3020_5, 0.01, 0.64, 0.63
j3032_10, 0.01, 0.89, 0.88
j3045_9, 8.32, 2.01, -6.3100000000000005
j3023_2, 0.01, 0.63, 0.62
j3012_9, 0.01, 0.52, 0.51
j3030_10, 2.32, 0.63, -1.69
j304_8, 0.01, 0.52, 0.51
j3032_9, 0.01, 0.66, 0.65
j3022_7, 0.19, 1.02, 0.8300000000000001
j3048_8, 0.01, 0.52, 0.51
j3041_5, 0.69, 1.4, 0.71
j3024_9, 0.01, 0.56, 0.55
j3034_7, 0.02, 0.73, 0.71
j3015_2, 0.01, 0.62, 0.61
j302_6, 0.01, 0.55, 0.54
j301_1, 0.3, 0.53, 0.23000000000000004
j3016_5, 0.01, 0.48, 0.47
j3019_6, 0.02, 0.59, 0.57
j3038_3, 0.03, 0.79, 0.76
j3042_2, 0.23, 0.61, 0.38
j3048_10, 0.01, 1.01, 1.0
j3043_3, 0.04, 0.73, 0.69
j3039_2, 0.01, 0.69, 0.6799999999999999
j3018_7, 0.01, 0.55, 0.54
j3017_4, 0.04, 0.7, 0.6599999999999999
j3036_1, 0.01, 0.74, 0.73
j3014_3, 1.74, 0.61, -1.13
j3029_10, 2.88, 0.89, -1.9899999999999998
j3035_6, 0.01, 0.65, 0.64
j303_7, 0.02, 0.52, 0.5
j3025_8, 42.39, 0.93, -41.46
j3040_4, 0.05, 0.64, 0.59
j3023_6, 0.02, 0.66, 0.64
j303_10, 0.02, 0.69, 0.6699999999999999
j305_9, 6.03, 0.74, -5.29
j3014_10, 0.1, 0.66, 0.56
j3033_8, 0.04, 1.04, 1.0
j3020_1, 0.01, 0.62, 0.61
j3037_10, 0.29, 1.3, 1.01
j3015_9, 0.01, 0.53, 0.52
j3024_2, 0.01, 0.66, 0.65
j3028_6, 0.01, 1.0, 0.99
j3042_9, 0.14, 1.66, 1.52
j3027_5, 0.04, 0.9, 0.86
j3038_8, 0.04, 1.71, 1.67
j3031_5, 0.28, 1.64, 1.3599999999999999
j308_7, 0.01, 0.74, 0.73
j307_4, 0.02, 1.42, 1.4
j3044_7, 0.01, 1.76, 1.75
j3048_3, 0.01, 2.95, 2.9400000000000004
j304_3, 0.01, 3.08, 3.0700000000000003
j3032_2, 0.01, 2.8, 2.79
j3013_7, 151.06, 2.95, -148.11
j305_2, 2.21, 3.05, 0.8399999999999999
j3012_6, 0.01, 1.54, 1.53
j3033_3, 0.03, 4.97, 4.9399999999999995
j3046_1, 0.15, 4.32, 4.17
j3045_6, 1.62, 1.85, 0.22999999999999998
j3011_1, 0.07, 0.79, 0.72
j3030_4, 0.57, 0.95, 0.38
j306_5, 0.1, 0.97, 0.87
j309_6, 29.45, 0.86, -28.59
j3039_9, 0.01, 0.91, 0.9
j3026_4, 0.05, 1.2, 1.15
j3043_8, 0.02, 1.06, 1.04
j3029_7, 16.69, 1.08, -15.610000000000001
j3013_10, 987.83, 0.83, -987.0
j304_10, 0.01, 0.52, 0.51
j3025_3, 115.13, 1.35, -113.78
j3014_8, 0.05, 0.62, 0.57
j3011_10, 0.02, 0.48, 0.45999999999999996
j306_10, 0.57, 0.85, 0.28
j3027_1, 0.02, 0.58, 0.5599999999999999
j3028_2, 0.01, 0.75, 0.74
j3019_9, 0.01, 0.95, 0.94
j302_9, 0.03, 0.84, 0.8099999999999999
j3034_8, 0.01, 0.84, 0.83
j3024_6, 0.01, 0.7, 0.69
j3047_4, 0.03, 0.7, 0.6699999999999999
j3022_8, 2.21, 0.69, -1.52
j3048_7, 0.0, 0.67, 0.67
j3032_6, 0.01, 0.55, 0.54
j3013_3, 178.05, 0.97, -177.08
j304_7, 0.0, 0.8, 0.8
j308_3, 0.01, 0.97, 0.96
j3031_1, 0.02, 0.64, 0.62
j3010_4, 1.57, 0.74, -0.8300000000000001
j3044_3, 0.01, 0.67, 0.66
j3045_2, 0.27, 1.61, 1.34
j309_2, 27.74, 1.12, -26.619999999999997
j306_1, 0.4, 0.63, 0.22999999999999998
j3011_5, 0.08, 0.67, 0.5900000000000001
j3012_2, 0.01, 0.52, 0.51
j3033_7, 0.02, 0.87, 0.85
j305_6, 10.32, 0.96, -9.36
j3023_9, 0.04, 0.78, 0.74
j3046_5, 0.34, 0.81, 0.47000000000000003
j3025_7, 24.34, 1.14, -23.2
j303_8, 0.01, 0.66, 0.65
j3035_10, 0.01, 0.76, 0.75
j3035_9, 0.01, 0.8, 0.79
j3018_8, 0.01, 0.64, 0.63
j3029_3, 40.1, 1.05, -39.050000000000004
