problemType, makespan, GRASP, diff
j1205_3, 72, 77, 5
j12020_1, 89, 98, 9
j12055_3, 126, 137, 11
j1203_10, 103, 111, 8
j12056_4, 221, 238, 17
j12033_8, 111, 119, 8
j12059_7, 112, 121, 9
j12023_6, 106, 110, 4
j12049_9, 97, 111, 14
j12018_10, 98, 114, 16
j1206_4, 153, 161, 8
j1209_7, 80, 88, 8
j12060_10, 89, 96, 7
j12025_8, 80, 86, 6
j12025_10, 92, 96, 4
j12040_4, 112, 122, 10
j12035_6, 86, 88, 2
j12014_3, 88, 96, 8
j12036_1, 210, 222, 12
j12017_4, 120, 130, 10
j12018_7, 118, 123, 5
j12039_2, 108, 130, 22
j12043_3, 95, 102, 7
j12042_2, 126, 147, 21
j12044_10, 98, 106, 8
j12038_3, 155, 162, 7
j12019_6, 90, 104, 14
j12016_5, 199, 219, 20
j12015_2, 75, 86, 11
j12034_7, 105, 119, 14
j12041_5, 138, 141, 3
j12024_9, 82, 83, 1
j12048_8, 116, 125, 9
j12022_7, 133, 145, 12
j1208_6, 85, 103, 18
j1207_5, 131, 144, 13
j12058_6, 140, 155, 15
j12032_9, 127, 139, 12
j12057_5, 179, 193, 14
j12054_2, 134, 142, 8
j1204_2, 107, 108, 1
j12059_3, 108, 125, 17
j12012_9, 105, 116, 11
j1209_3, 87, 103, 16
j12023_2, 116, 122, 6
j12020_5, 69, 77, 8
j12045_9, 114, 115, 1
j1205_7, 84, 86, 2
j12055_7, 105, 111, 6
j12055_7, 105, 111, 6
j12018_3, 101, 109, 8
j12039_6, 95, 112, 17
j12053_9, 165, 197, 32
j12036_5, 228, 254, 26
j12046_10, 188, 200, 12
j1203_9, 86, 87, 1
j12029_8, 80, 87, 7
j12043_7, 122, 122, 0
j12035_2, 111, 127, 16
j12014_7, 90, 104, 14
j12015_6, 97, 103, 6
j12034_3, 101, 109, 8
j12041_1, 127, 129, 2
j12060_4, 103, 106, 3
j12027_10, 115, 136, 21
j1202_8, 83, 94, 11
j12042_6, 119, 131, 12
j12028_9, 98, 112, 14
j12016_1, 195, 212, 17
j12037_4, 162, 173, 11
j12052_8, 158, 176, 18
j12038_7, 105, 121, 16
j12019_2, 82, 98, 16
j12054_6, 108, 123, 15
j12044_8, 108, 110, 2
j12021_4, 135, 142, 7
j1204_6, 90, 93, 3
j1207_1, 102, 113, 11
j1208_2, 103, 123, 20
j12022_3, 96, 102, 6
j12057_1, 185, 211, 26
j12013_8, 93, 118, 25
j12058_2, 126, 136, 10
j1201_10, 108, 128, 20
j12056_1, 236, 260, 24
j12012_8, 119, 126, 7
j12059_2, 106, 114, 8
j1206_1, 144, 159, 15
j1209_2, 94, 99, 5
j12023_3, 99, 100, 1
j12045_8, 103, 104, 1
j12020_4, 89, 94, 5
j12023_10, 100, 103, 3
j1205_6, 88, 90, 2
j12055_6, 100, 107, 7
j12036_4, 235, 257, 22
j12017_1, 140, 150, 10
j12053_8, 139, 148, 9
j12018_2, 116, 136, 20
j12039_7, 104, 118, 14
j1205_10, 92, 93, 1
j1203_8, 77, 90, 13
j12043_6, 98, 98, 0
j12029_9, 97, 101, 4
j12040_1, 81, 88, 7
j12035_3, 77, 87, 10
j12014_6, 91, 94, 3
j12015_7, 75, 77, 2
j12034_2, 105, 125, 20
j12060_5, 104, 115, 11
j1202_9, 94, 104, 10
j12028_8, 99, 109, 10
j12042_7, 123, 133, 10
j12038_6, 122, 134, 12
j12019_3, 85, 89, 4
j12052_9, 150, 168, 18
j12037_5, 204, 227, 23
j12054_7, 111, 122, 11
j12021_5, 110, 115, 5
