problemType, makespan, GRASP, diff
j3021_1, 0.21, 0.43, 0.22
j304_9, 0.01, 0.21, 0.19999999999999998
j3032_8, 0.01, 0.27, 0.26
j3048_9, 0.0, 0.3, 0.3
j3022_6, 1.95, 0.31, -1.64
j3024_8, 0.01, 0.22, 0.21
j3041_4, 2.75, 0.49, -2.26
j3034_6, 0.01, 0.31, 0.3
j3015_3, 0.03, 0.23, 0.2
j302_7, 0.01, 0.27, 0.26
j307_10, 0.16, 0.26, 0.1
j3010_10, 9.6, 0.26, -9.34
j3019_7, 0.01, 0.26, 0.25
j3038_2, 0.06, 0.36, 0.3
j3037_1, 0.23, 0.49, 0.26
j3016_4, 0.01, 0.26, 0.25
j3042_3, 0.05, 0.39, 0.34
j3043_2, 0.01, 0.29, 0.27999999999999997
j3017_5, 0.06, 0.3, 0.24
j3039_3, 0.01, 0.32, 0.31
j3018_6, 0.02, 0.36, 0.33999999999999997
j3014_2, 11.69, 0.27, -11.42
j3035_7, 0.01, 0.34, 0.33
j303_6, 0.01, 0.26, 0.25
j3040_5, 0.01, 0.34, 0.33
j3034_10, 0.01, 0.29, 0.27999999999999997
j3025_9, 1.57, 0.43, -1.1400000000000001
j3023_7, 0.01, 0.36, 0.35
j305_8, 4.33, 0.36, -3.97
j3033_9, 0.04, 0.42, 0.38
j3013_9, 239.17, 0.62, -238.54999999999998
j3022_2, 0.02, 0.27, 0.25
j3021_5, 0.55, 0.32, -0.23000000000000004
j3044_9, 0.01, 0.31, 0.3
j308_9, 0.01, 0.21, 0.19999999999999998
j3037_5, 0.23, 0.48, 0.24999999999999997
j3019_3, 0.0, 0.37, 0.37
j3038_6, 0.02, 0.34, 0.32
j301_4, 0.64, 0.29, -0.35000000000000003
j3042_7, 0.07, 0.37, 0.3
j3028_8, 0.01, 0.3, 0.29
j3036_10, 0.0, 0.31, 0.31
j302_3, 0.01, 0.22, 0.21
j3034_2, 0.01, 0.26, 0.25
j3015_7, 0.01, 0.22, 0.21
j303_2, 0.03, 0.21, 0.18
j3014_6, 0.75, 0.23, -0.52
j3035_3, 0.01, 0.37, 0.36
j3040_1, 0.01, 0.29, 0.27999999999999997
j3029_9, 31.09, 0.58, -30.51
j3043_6, 0.03, 0.32, 0.29000000000000004
j3039_7, 0.03, 0.35, 0.31999999999999995
j3018_2, 0.01, 0.29, 0.27999999999999997
j3017_1, 0.4, 0.34, -0.06
j3036_4, 0.01, 0.33, 0.32
j305_10, 2.84, 0.34, -2.5
j3012_10, 0.0, 0.25, 0.25
j309_8, 14.26, 0.46, -13.799999999999999
j3045_8, 0.37, 0.49, 0.12
j3020_4, 0.01, 0.25, 0.24
j3023_3, 0.03, 0.26, 0.23
j3012_8, 0.01, 0.25, 0.24
j3013_8, 23.8, 0.52, -23.28
j301_10, 0.04, 0.24, 0.19999999999999998
j3016_10, 0.01, 0.26, 0.25
j3022_3, 0.03, 0.32, 0.29000000000000004
j3044_8, 0.01, 0.28, 0.27
j3021_4, 1.09, 0.39, -0.7000000000000001
j308_8, 0.01, 0.25, 0.24
j3019_2, 0.01, 0.3, 0.29
j3038_7, 0.03, 0.4, 0.37
j3037_4, 0.25, 0.52, 0.27
j3016_1, 0.01, 0.24, 0.22999999999999998
j301_5, 0.48, 0.24, -0.24
j3028_9, 0.01, 0.28, 0.27
j3042_6, 0.03, 0.36, 0.32999999999999996
j3041_1, 0.17, 0.52, 0.35
j302_2, 0.02, 0.27, 0.25
j3034_3, 0.01, 0.37, 0.36
j3015_6, 0.02, 0.3, 0.27999999999999997
j303_3, 0.02, 0.27, 0.25
j3014_7, 41.86, 0.28, -41.58
j3035_2, 0.01, 0.33, 0.32
j3043_7, 0.02, 0.33, 0.31
j3029_8, 353.74, 0.46, -353.28000000000003
j3036_5, 0.01, 0.34, 0.33
j3039_6, 0.01, 0.42, 0.41
j3018_3, 0.01, 0.3, 0.29
j309_9, 39.98, 0.33, -39.65
j3020_5, 0.01, 0.32, 0.31
j3032_10, 0.01, 0.27, 0.26
j3045_9, 8.32, 0.51, -7.8100000000000005
j3023_2, 0.01, 0.58, 0.57
j3012_9, 0.01, 0.31, 0.3
j3030_10, 2.32, 0.3, -2.02
j304_8, 0.01, 0.25, 0.24
j3032_9, 0.01, 0.37, 0.36
j3022_7, 0.19, 0.4, 0.21000000000000002
j3048_8, 0.01, 0.28, 0.27
j3041_5, 0.69, 0.51, -0.17999999999999994
j3024_9, 0.01, 0.33, 0.32
j3034_7, 0.02, 0.62, 0.6
j3015_2, 0.01, 0.24, 0.22999999999999998
j302_6, 0.01, 0.25, 0.24
j301_1, 0.3, 0.26, -0.03999999999999998
j3016_5, 0.01, 0.24, 0.22999999999999998
j3019_6, 0.02, 0.29, 0.26999999999999996
j3038_3, 0.03, 0.39, 0.36
j3042_2, 0.23, 0.3, 0.06999999999999998
j3048_10, 0.01, 0.3, 0.29
j3043_3, 0.04, 0.37, 0.33
j3039_2, 0.01, 0.43, 0.42
j3018_7, 0.01, 0.26, 0.25
j3017_4, 0.04, 0.31, 0.27
j3036_1, 0.01, 0.51, 0.5
j3014_3, 1.74, 0.28, -1.46
j3029_10, 2.88, 0.45, -2.4299999999999997
j3035_6, 0.01, 0.33, 0.32
j303_7, 0.02, 0.26, 0.24000000000000002
j3025_8, 42.39, 0.44, -41.95
j3040_4, 0.05, 0.3, 0.25
j3023_6, 0.02, 0.27, 0.25
j303_10, 0.02, 0.31, 0.29
j305_9, 6.03, 0.38, -5.65
j3014_10, 0.1, 0.3, 0.19999999999999998
j3033_8, 0.04, 0.51, 0.47000000000000003
j3020_1, 0.01, 0.33, 0.32
j3037_10, 0.29, 0.78, 0.49000000000000005
j3015_9, 0.01, 0.26, 0.25
j3024_2, 0.01, 0.32, 0.31
j3028_6, 0.01, 0.42, 0.41
j3042_9, 0.14, 0.38, 0.24
j3027_5, 0.04, 0.37, 0.33
j3038_8, 0.04, 0.57, 0.5299999999999999
j3031_5, 0.28, 1.17, 0.8899999999999999
j308_7, 0.01, 0.45, 0.44
j307_4, 0.02, 0.44, 0.42
j3044_7, 0.01, 0.72, 0.71
j3048_3, 0.01, 0.83, 0.82
j304_3, 0.01, 1.51, 1.5
j3032_2, 0.01, 1.2, 1.19
j3013_7, 151.06, 1.7, -149.36
j305_2, 2.21, 1.54, -0.6699999999999999
j3012_6, 0.01, 1.87, 1.86
j3033_3, 0.03, 1.04, 1.01
j3046_1, 0.15, 2.18, 2.0300000000000002
j3045_6, 1.62, 1.93, 0.30999999999999983
j3011_1, 0.07, 0.33, 0.26
j3030_4, 0.57, 0.38, -0.18999999999999995
j306_5, 0.1, 0.44, 0.33999999999999997
j309_6, 29.45, 0.37, -29.08
j3039_9, 0.01, 0.53, 0.52
j3026_4, 0.05, 0.62, 0.57
j3043_8, 0.02, 0.47, 0.44999999999999996
j3029_7, 16.69, 0.54, -16.150000000000002
j3013_10, 987.83, 0.47, -987.36
j304_10, 0.01, 0.26, 0.25
j3025_3, 115.13, 0.62, -114.50999999999999
j3014_8, 0.05, 0.32, 0.27
j3011_10, 0.02, 0.24, 0.22
j306_10, 0.57, 0.36, -0.20999999999999996
j3027_1, 0.02, 0.4, 0.38
j3028_2, 0.01, 0.36, 0.35
j3019_9, 0.01, 0.27, 0.26
j302_9, 0.03, 0.62, 0.59
j3034_8, 0.01, 0.42, 0.41
j3024_6, 0.01, 0.33, 0.32
j3047_4, 0.03, 0.36, 0.32999999999999996
j3022_8, 2.21, 0.43, -1.78
j3048_7, 0.0, 0.43, 0.43
j3032_6, 0.01, 0.27, 0.26
j3013_3, 178.05, 0.55, -177.5
j304_7, 0.0, 0.31, 0.31
j308_3, 0.01, 0.32, 0.31
j3031_1, 0.02, 0.33, 0.31
j3010_4, 1.57, 0.37, -1.2000000000000002
j3044_3, 0.01, 0.36, 0.35
j3045_2, 0.27, 0.78, 0.51
j309_2, 27.74, 0.5, -27.24
j306_1, 0.4, 0.32, -0.08000000000000002
j3011_5, 0.08, 0.36, 0.27999999999999997
j3012_2, 0.01, 0.26, 0.25
j3033_7, 0.02, 0.46, 0.44
j305_6, 10.32, 0.57, -9.75
j3023_9, 0.04, 0.43, 0.39
j3046_5, 0.34, 0.41, 0.06999999999999995
j3025_7, 24.34, 0.57, -23.77
j303_8, 0.01, 0.33, 0.32
j3035_10, 0.01, 0.37, 0.36
j3035_9, 0.01, 0.39, 0.38
j3018_8, 0.01, 0.32, 0.31
j3029_3, 40.1, 0.5, -39.6
j3028_3, 0.01, 0.29, 0.27999999999999997
j3019_8, 0.01, 0.37, 0.36
j302_8, 0.03, 0.38, 0.35
j3034_9, 0.01, 0.52, 0.51
j3024_7, 0.01, 0.3, 0.29
j3048_6, 0.01, 0.38, 0.37
j3022_9, 0.01, 0.45, 0.44
j3047_5, 0.04, 0.35, 0.31
j3032_7, 0.01, 0.27, 0.26
j3013_2, 1409.73, 0.42, -1409.31
j304_6, 0.01, 0.26, 0.25
j308_2, 0.01, 0.3, 0.29
j307_1, 0.01, 1.59, 1.58
j3031_10, 1.91, 2.16, 0.2500000000000002
j3010_5, 11.1, 0.33, -10.77
j3044_2, 0.01, 0.56, 0.55
j3045_3, 0.6, 0.98, 0.38
j309_3, 59.56, 0.42, -59.14
j3011_4, 0.6, 0.31, -0.29
j3030_1, 22.78, 0.38, -22.400000000000002
j3012_3, 0.01, 0.24, 0.22999999999999998
j3033_6, 0.02, 0.35, 0.32999999999999996
j305_7, 37.06, 0.44, -36.620000000000005
j3015_10, 0.01, 0.34, 0.33
j302_10, 0.04, 0.3, 0.26
j3046_4, 0.09, 0.48, 0.39
j3023_8, 0.03, 0.31, 0.28
j3025_6, 24.84, 0.47, -24.37
j3028_10, 0.01, 0.34, 0.33
j303_9, 0.04, 0.38, 0.34
j3035_8, 0.01, 0.47, 0.45999999999999996
j3018_9, 0.01, 0.3, 0.29
j3026_1, 0.12, 0.36, 0.24
j3029_2, 52.26, 0.61, -51.65
j3015_8, 25.41, 0.28, -25.13
j3024_3, 0.0, 0.33, 0.33
j3027_4, 0.01, 0.39, 0.38
j3042_8, 0.12, 0.5, 0.38
j3028_7, 0.01, 0.29, 0.27999999999999997
j3038_9, 0.02, 0.42, 0.39999999999999997
j3031_4, 0.02, 0.31, 0.29
j3010_1, 2.51, 0.3, -2.21
j307_5, 0.26, 0.3, 0.03999999999999998
j308_6, 0.01, 0.28, 0.27
j3044_6, 0.01, 0.35, 0.33999999999999997
j3047_1, 0.02, 0.39, 0.37
j3048_2, 0.02, 0.37, 0.35
j3017_10, 0.01, 0.4, 0.39
j304_2, 0.01, 0.31, 0.3
j3032_3, 0.02, 0.34, 0.32
j3013_6, 1114.68, 0.39, -1114.29
j305_3, 3.06, 0.45, -2.61
j3012_7, 0.01, 0.29, 0.27999999999999997
j3033_2, 0.02, 0.42, 0.39999999999999997
j3045_7, 2.08, 0.65, -1.4300000000000002
j3033_10, 0.01, 0.34, 0.33
j3030_5, 2.26, 0.34, -1.9199999999999997
j309_7, 144.04, 0.38, -143.66
j306_4, 2.46, 0.24, -2.2199999999999998
j3039_8, 0.02, 0.43, 0.41
j3029_6, 48.33, 0.53, -47.8
j3043_9, 0.02, 0.36, 0.33999999999999997
j3026_5, 0.03, 0.44, 0.41000000000000003
j3025_2, 3.12, 0.48, -2.64
j3014_9, 50.09, 0.33, -49.760000000000005
j3047_10, 0.39, 0.43, 0.03999999999999998
j3016_8, 0.01, 0.27, 0.26
j3027_3, 0.02, 0.37, 0.35
j3024_4, 0.01, 0.33, 0.32
j3041_8, 1.6, 0.61, -0.9900000000000001
j304_5, 0.01, 0.3, 0.29
j3032_4, 0.01, 0.31, 0.3
j3013_1, 7208.9, 0.39, -7208.509999999999
j3048_5, 0.01, 0.38, 0.37
j3047_6, 0.22, 0.36, 0.13999999999999999
j3044_1, 0.01, 0.32, 0.31
j3031_3, 0.02, 0.36, 0.33999999999999997
j3010_6, 1.52, 0.27, -1.25
j308_1, 0.01, 0.25, 0.24
j307_2, 0.02, 0.25, 0.23
j3011_7, 0.5, 0.37, -0.13
j3030_2, 4.44, 0.4, -4.04
j306_3, 0.37, 0.41, 0.03999999999999998
j3046_7, 5.89, 0.48, -5.41
j305_4, 34.63, 0.38, -34.25
j3033_5, 0.02, 0.37, 0.35
j3026_10, 0.4, 0.32, -0.08000000000000002
j3040_9, 0.01, 0.37, 0.36
j3025_5, 12.96, 0.44, -12.520000000000001
j3026_2, 0.01, 1.54, 1.53
j3029_1, 209.88, 2.4, -207.48
j3017_9, 0.01, 0.72, 0.71
j3024_10, 0.01, 0.3, 0.29
j3037_9, 0.08, 0.46, 0.38
j301_8, 0.03, 0.45, 0.42000000000000004
j3027_7, 0.06, 0.35, 0.29
j3028_4, 0.01, 0.31, 0.3
j3021_9, 2.28, 0.52, -1.7599999999999998
j3044_5, 0.01, 1.05, 1.04
j307_6, 0.02, 0.35, 0.32999999999999996
j308_5, 0.01, 0.35, 0.33999999999999997
j3031_7, 0.02, 0.46, 0.44
j3010_2, 0.19, 0.34, 0.15000000000000002
j3013_5, 3329.75, 0.49, -3329.26
j304_1, 0.01, 0.36, 0.35
j3047_2, 0.02, 0.42, 0.39999999999999997
j3019_10, 0.02, 0.31, 0.29
j3048_1, 0.01, 0.43, 0.42
j3046_3, 0.59, 0.5, -0.08999999999999997
j3012_4, 0.01, 0.33, 0.32
j3033_1, 0.02, 0.43, 0.41
j309_4, 91.77, 0.5, -91.27
j306_7, 0.23, 0.29, 0.05999999999999997
j3011_3, 0.02, 0.48, 0.45999999999999996
j3030_6, 1.0, 0.42, -0.5800000000000001
j3045_4, 2.17, 0.61, -1.56
j3020_8, 0.01, 0.32, 0.31
j3029_5, 20.72, 0.69, -20.029999999999998
j3026_6, 0.1, 0.42, 0.31999999999999995
j3045_10, 0.38, 0.63, 0.25
j3036_8, 0.01, 0.43, 0.42
j3025_1, 64.75, 0.61, -64.14
j3024_1, 0.01, 0.43, 0.42
j3039_10, 0.01, 0.38, 0.37
j3037_8, 0.18, 0.51, 0.33
j301_9, 0.1, 0.29, 0.18999999999999997
j3028_5, 0.01, 0.45, 0.44
j3027_6, 0.01, 0.34, 0.33
j3044_4, 0.01, 0.32, 0.31
j3021_8, 1.83, 0.47, -1.36
j308_4, 0.0, 0.28, 0.28
j307_7, 0.01, 0.32, 0.31
j3031_6, 0.01, 0.34, 0.33
j3010_3, 8.22, 0.49, -7.73
j3041_10, 7.42, 0.82, -6.6
j3032_1, 0.0, 0.34, 0.34
j3013_4, 48.57, 0.48, -48.09
j3047_3, 0.06, 0.37, 0.31
j3046_2, 1.73, 0.42, -1.31
j3012_5, 0.01, 0.29, 0.27999999999999997
j305_1, 2.81, 0.36, -2.45
j306_6, 0.04, 0.28, 0.24000000000000002
j309_5, 3.59, 0.44, -3.15
j3011_2, 0.14, 0.28, 0.14
j3030_7, 0.42, 0.38, -0.03999999999999998
j3020_9, 0.01, 0.3, 0.29
j3045_5, 0.62, 0.58, -0.040000000000000036
j3020_10, 0.0, 0.27, 0.27
j3026_7, 0.03, 0.37, 0.33999999999999997
j3029_4, 26.29, 0.61, -25.68
j3036_9, 0.01, 0.39, 0.38
j3016_9, 0.01, 0.29, 0.27999999999999997
j3027_2, 0.02, 0.38, 0.36
j3028_1, 0.01, 0.42, 0.41
j308_10, 0.01, 0.33, 0.32
j3041_9, 0.55, 0.67, 0.12
j3024_5, 0.01, 0.31, 0.3
j304_4, 0.01, 0.31, 0.3
j3032_5, 0.01, 0.29, 0.27999999999999997
j3047_7, 0.06, 0.44, 0.38
j3048_4, 0.01, 0.38, 0.37
j3022_10, 0.67, 0.89, 0.21999999999999997
j3031_2, 0.02, 1.03, 1.01
j3010_7, 0.47, 0.99, 0.52
j307_3, 0.03, 0.92, 0.89
j3011_6, 0.02, 0.55, 0.53
j3030_3, 1.46, 0.44, -1.02
j309_1, 423.46, 0.55, -422.90999999999997
j306_2, 1.44, 0.39, -1.0499999999999998
j3045_1, 2.15, 0.76, -1.39
j3046_6, 1.7, 0.41, -1.29
j305_5, 0.17, 0.41, 0.23999999999999996
j3043_10, 0.02, 0.41, 0.38999999999999996
j3012_1, 0.01, 0.26, 0.25
j3033_4, 0.01, 0.48, 0.47
j3025_4, 10.81, 0.55, -10.26
j3040_8, 0.01, 0.37, 0.36
j3026_3, 0.02, 0.36, 0.33999999999999997
j3017_8, 0.04, 0.4, 0.36000000000000004
j3018_10, 0.03, 0.31, 0.28
j3031_9, 0.33, 0.3, -0.030000000000000027
j307_8, 0.01, 0.24, 0.22999999999999998
j3021_7, 1.51, 0.5, -1.01
j3042_5, 0.01, 0.38, 0.37
j3027_9, 0.02, 0.35, 0.32999999999999996
