projectName, it, alpha, makespan, duration;
j1205_3,100,RND,77,4.08
j12020_1,100,RND,98,4.4
j12055_3,100,RND,131,6.91
j1203_10,100,RND,111,4.21
j12056_4,100,RND,240,9.68
j12033_8,100,RND,121,5.23
j12059_7,100,RND,122,5.91
j12023_6,100,RND,110,5.28
j12049_9,100,RND,111,5.97
j12018_10,100,RND,117,4.46
j1206_4,100,RND,163,6.25
j1209_7,100,RND,87,3.39
j12060_10,100,RND,96,4.99
j12025_8,100,RND,85,4.09
j12025_10,100,RND,96,4.41
j12040_4,100,RND,124,4.94
j12035_6,100,RND,91,4.23
j12014_3,100,RND,99,3.44
j12036_1,100,RND,224,7.91
j12017_4,100,RND,135,4.51
j12018_7,100,RND,127,3.74
j12039_2,100,RND,132,5.23
j12043_3,100,RND,103,5.33
j12042_2,100,RND,141,6.76
j12044_10,100,RND,107,5.11
j12038_3,100,RND,164,5.81
j12019_6,100,RND,105,3.67
j12016_5,100,RND,222,6.21
j12015_2,100,RND,86,3.55
j12034_7,100,RND,121,4.54
j12041_5,100,RND,143,6.04
j12024_9,100,RND,82,4.37
j12048_8,100,RND,120,5.37
j12022_7,100,RND,143,5.58
j1208_6,100,RND,104,3.88
j1207_5,100,RND,140,4.41
j12058_6,100,RND,157,6.74
j12032_9,100,RND,135,5.56
j12057_5,100,RND,191,7.7
j12054_2,100,RND,137,6.36
j1204_2,100,RND,110,3.77
j12059_3,100,RND,126,5.83
j12012_9,100,RND,118,4.14
j1209_3,100,RND,104,3.92
j12023_2,100,RND,117,4.95
j12020_5,100,RND,76,3.23
j12045_9,100,RND,115,5.39
j1205_7,100,RND,85,3.38
j12055_7,100,RND,112,5.22
j12018_3,100,RND,107,3.78
j12039_6,100,RND,103,4.73
j12053_9,100,RND,196,8.0
j12036_5,100,RND,259,8.66
j12046_10,100,RND,201,8.66
j1203_9,100,RND,88,3.53
j12029_8,100,RND,86,4.09
j12043_7,100,RND,121,6.36
j12035_2,100,RND,127,4.98
j12014_7,100,RND,107,3.72
j12015_6,100,RND,100,3.86
j12034_3,100,RND,110,4.36
j12041_1,100,RND,131,6.22
j12060_4,100,RND,112,5.41
j12027_10,100,RND,143,5.82
j1202_8,100,RND,93,3.59
j12042_6,100,RND,124,5.65
j12028_9,100,RND,110,5.06
j12016_1,100,RND,206,6.33
j12037_4,100,RND,177,6.17
j12052_8,100,RND,175,7.75
j12038_7,100,RND,119,4.82
j12019_2,100,RND,99,3.74
j12054_6,100,RND,122,5.41
j12044_8,100,RND,111,5.5
j12021_4,100,RND,139,5.79
j1204_6,100,RND,90,3.39
j1207_1,100,RND,114,4.17
j1208_2,100,RND,121,4.09
j12022_3,100,RND,103,4.57
j12057_1,100,RND,212,8.35
j12013_8,100,RND,110,4.21
j12058_2,100,RND,140,6.2
j1201_10,100,RND,128,4.54
j12056_1,100,RND,268,10.85
j12012_8,100,RND,125,4.22
j12059_2,100,RND,113,5.04
j1206_1,100,RND,158,5.22
j1209_2,100,RND,99,3.73
j12023_3,100,RND,100,4.18
j12045_8,100,RND,104,4.94
j12020_4,100,RND,94,3.65
j12023_10,100,RND,102,4.43
j1205_6,100,RND,89,3.37
j12055_6,100,RND,106,5.24
j12036_4,100,RND,256,8.81
j12017_1,100,RND,150,4.43
j12053_8,100,RND,147,6.47
j12018_2,100,RND,137,4.04
j12039_7,100,RND,117,4.64
j1205_10,100,RND,93,3.62
j1203_8,100,RND,89,3.57
j12043_6,100,RND,98,5.71
j12029_9,100,RND,101,4.23
j12040_1,100,RND,91,4.25
j12035_3,100,RND,89,4.25
j12014_6,100,RND,92,3.66
j12015_7,100,RND,76,3.41
j12034_2,100,RND,118,5.21
j12060_5,100,RND,114,4.76
j1202_9,100,RND,103,3.53
j12028_8,100,RND,107,4.82
j12042_7,100,RND,131,6.07
j12038_6,100,RND,136,5.17
j12019_3,100,RND,89,3.24
j12052_9,100,RND,167,7.05
j12037_5,100,RND,223,7.63
j12054_7,100,RND,121,5.71
j12021_5,100,RND,116,5.53
j12044_9,100,RND,92,5.3
j1204_7,100,RND,84,3.65
j1208_3,100,RND,106,4.04
j12022_2,100,RND,113,4.7
j12058_3,100,RND,126,5.29
j12013_9,100,RND,97,3.47
j12042_10,100,RND,127,5.99
j1205_2,100,RND,83,3.88
j12055_2,100,RND,88,5.36
j12040_10,100,RND,102,4.58
j12059_6,100,RND,129,5.76
j12033_9,100,RND,124,5.05
j12056_5,100,RND,341,12.84
j12049_8,100,RND,122,5.54
j12023_7,100,RND,107,4.52
j1209_6,100,RND,112,3.79
j1206_5,100,RND,135,4.8
j12040_5,100,RND,104,4.38
j12025_9,100,RND,95,4.34
j12038_10,100,RND,152,5.54
j12035_7,100,RND,107,4.91
j12014_2,100,RND,105,3.66
j12018_6,100,RND,146,4.22
j12039_3,100,RND,123,4.91
j12017_5,100,RND,145,4.43
j12043_2,100,RND,126,5.78
j12042_3,100,RND,114,5.57
j12059_10,100,RND,141,6.07
j1207_10,100,RND,133,4.34
j12016_4,100,RND,208,6.72
j12037_1,100,RND,162,5.53
j12038_2,100,RND,132,5.07
j12019_7,100,RND,105,3.88
j12015_3,100,RND,93,3.49
j12034_6,100,RND,120,5.06
j12024_8,100,RND,106,4.2
j12041_4,100,RND,117,5.9
j12060_1,100,RND,105,5.1
j12022_6,100,RND,107,4.64
j12048_9,100,RND,127,5.51
j1207_4,100,RND,122,3.85
j1208_7,100,RND,106,3.72
j12057_4,100,RND,214,8.03
j12032_8,100,RND,142,5.28
j12058_7,100,RND,162,6.77
j12054_3,100,RND,123,5.83
j1204_3,100,RND,96,3.35
j12021_1,100,RND,126,5.11
j12021_10,100,RND,109,5.01
j12014_9,100,RND,111,3.66
j12025_2,100,RND,110,4.74
j12043_9,100,RND,109,5.17
j12026_5,100,RND,163,6.65
j12029_6,100,RND,98,4.12
j12047_10,100,RND,147,6.83
j1203_7,100,RND,96,3.84
j12053_7,100,RND,135,5.97
j12039_8,100,RND,111,4.54
j12030_5,100,RND,90,4.24
j12055_9,100,RND,98,5.02
j1205_9,100,RND,107,3.62
j12045_7,100,RND,104,5.01
j12049_3,100,RND,103,5.13
j12033_2,100,RND,120,4.87
j12012_7,100,RND,130,4.25
j12013_6,100,RND,112,3.81
j12032_3,100,RND,159,6.07
j12048_2,100,RND,117,5.22
j12047_1,100,RND,156,7.24
j1204_8,100,RND,97,3.27
j12044_6,100,RND,110,5.23
j12054_8,100,RND,110,5.0
j12010_1,100,RND,117,4.15
j12031_4,100,RND,242,8.52
j12038_9,100,RND,162,5.85
j12052_6,100,RND,219,8.62
j12028_7,100,RND,120,5.28
j12027_4,100,RND,115,4.98
j12042_8,100,RND,125,5.6
j1202_6,100,RND,89,3.5
j1201_1,100,RND,113,3.96
j12024_3,100,RND,90,4.23
j12015_8,100,RND,131,4.95
j12026_10,100,RND,222,8.67
j12051_1,100,RND,243,10.21
j1203_3,100,RND,101,4.28
j12029_2,100,RND,96,4.24
j12026_1,100,RND,180,7.62
j12018_9,100,RND,94,3.53
j12053_3,100,RND,124,5.76
j12035_8,100,RND,110,4.88
j12024_10,100,RND,98,4.33
j12050_4,100,RND,106,5.3
j12025_6,100,RND,93,4.18
j1202_10,100,RND,102,4.0
j1209_9,100,RND,94,3.32
j12049_7,100,RND,104,5.07
j12046_4,100,RND,187,8.61
j12023_8,100,RND,107,4.84
j12059_9,100,RND,134,5.92
j12033_6,100,RND,140,5.36
j12012_3,100,RND,154,4.58
j12019_10,100,RND,92,3.34
j12030_1,100,RND,108,4.67
j12011_4,100,RND,215,6.55
j12045_3,100,RND,99,5.46
j12044_2,100,RND,112,5.35
j12010_5,100,RND,98,3.73
j12013_2,100,RND,94,3.4
j12032_7,100,RND,137,5.45
j12058_8,100,RND,147,6.58
j1208_8,100,RND,91,3.64
j12022_9,100,RND,108,5.07
j12047_5,100,RND,149,7.2
j12048_6,100,RND,108,5.08
j12024_7,100,RND,114,4.52
j1201_5,100,RND,120,3.84
j12051_5,100,RND,262,15.16
j12034_9,100,RND,103,6.14
j12052_2,100,RND,197,9.65
j12019_8,100,RND,106,3.76
j12045_10,100,RND,102,5.31
j1202_2,100,RND,81,3.63
j12028_3,100,RND,111,5.6
j1203_2,100,RND,90,3.51
j12029_3,100,RND,99,5.0
j12053_2,100,RND,130,9.11
j12018_8,100,RND,120,4.77
j12050_5,100,RND,108,7.51
j12035_9,100,RND,99,4.34
j12025_7,100,RND,96,4.14
j12039_10,100,RND,122,4.8
j12041_10,100,RND,135,6.7
j1209_8,100,RND,87,3.26
j12023_9,100,RND,120,4.74
j12046_5,100,RND,153,7.79
j12049_6,100,RND,133,5.91
j12033_7,100,RND,137,5.2
j12012_2,100,RND,122,4.11
j12059_8,100,RND,118,5.02
j12011_5,100,RND,229,7.14
j12045_2,100,RND,92,4.69
j12044_3,100,RND,108,5.08
j12020_10,100,RND,91,3.69
j12010_4,100,RND,100,3.4
j12031_1,100,RND,215,8.26
j12058_9,100,RND,139,6.12
j12013_3,100,RND,147,4.4
j12032_6,100,RND,139,5.47
j1208_9,100,RND,100,3.6
j12048_7,100,RND,121,5.14
j12047_4,100,RND,143,6.47
j12022_8,100,RND,111,4.86
j12024_6,100,RND,96,4.07
j1201_4,100,RND,107,4.0
j12034_8,100,RND,101,4.25
j12051_4,100,RND,230,10.64
j12019_9,100,RND,98,3.34
j12052_3,100,RND,142,6.9
j12058_10,100,RND,138,5.86
j1206_10,100,RND,186,6.2
j1202_3,100,RND,100,3.5
j12028_2,100,RND,120,4.85
j12027_1,100,RND,115,4.79
j12014_8,100,RND,115,3.64
j12050_1,100,RND,117,5.0
j12025_3,100,RND,101,4.35
j12029_7,100,RND,104,4.36
j12026_4,100,RND,200,7.56
j12043_8,100,RND,117,5.59
j1204_10,100,RND,78,3.52
j1203_6,100,RND,110,3.92
j12039_9,100,RND,100,4.32
j12053_6,100,RND,117,5.84
j12055_8,100,RND,114,5.4
j12030_4,100,RND,85,4.04
j12022_10,100,RND,84,4.07
j12011_1,100,RND,179,5.78
j1205_8,100,RND,82,3.47
j12045_6,100,RND,126,5.31
j12049_2,100,RND,118,5.16
j12046_1,100,RND,209,9.66
j12033_3,100,RND,124,5.26
j12012_6,100,RND,126,4.59
j12013_7,100,RND,125,4.14
j12032_2,100,RND,139,5.43
j12048_3,100,RND,120,5.71
j12043_10,100,RND,113,5.6
j1204_9,100,RND,80,3.28
j12044_7,100,RND,100,4.86
j12031_5,100,RND,226,8.85
j12054_9,100,RND,117,5.42
j12052_7,100,RND,158,7.2
j12038_8,100,RND,133,5.35
j12042_9,100,RND,115,5.18
j12027_5,100,RND,119,4.76
j12028_6,100,RND,109,4.62
j1202_7,100,RND,96,3.78
j12024_2,100,RND,93,4.05
j12015_9,100,RND,112,4.13
j12017_8,100,RND,132,4.21
j12053_1,100,RND,166,6.86
j12026_3,100,RND,180,7.07
j1203_1,100,RND,93,3.58
j12037_10,100,RND,138,5.25
j12025_4,100,RND,118,4.78
j12040_8,100,RND,106,4.52
j12050_6,100,RND,103,5.02
j12056_8,100,RND,311,13.11
j12033_4,100,RND,126,5.21
j12012_1,100,RND,150,5.18
j12046_6,100,RND,188,9.22
j12049_5,100,RND,96,5.25
j1206_8,100,RND,179,5.78
j12045_1,100,RND,109,5.34
j12030_3,100,RND,109,4.44
j12011_6,100,RND,228,6.67
j12010_7,100,RND,82,3.51
j12031_2,100,RND,218,7.75
j12048_4,100,RND,133,5.83
j12047_7,100,RND,135,6.49
j1207_9,100,RND,102,3.58
j12032_5,100,RND,146,5.2
j12057_9,100,RND,181,7.46
j12051_7,100,RND,232,9.8
j1201_7,100,RND,128,3.73
j12041_9,100,RND,131,6.03
j12024_5,100,RND,87,4.0
j1208_10,100,RND,101,3.58
j12028_1,100,RND,123,5.21
j12027_2,100,RND,125,4.84
j12056_10,100,RND,277,11.05
j12016_9,100,RND,211,6.61
j12013_10,100,RND,105,3.49
j12050_2,100,RND,119,5.17
j12054_10,100,RND,118,5.52
j12053_5,100,RND,130,5.94
j12011_10,100,RND,205,6.44
j12036_9,100,RND,252,8.75
j1203_5,100,RND,93,3.87
j12029_4,100,RND,92,4.22
j12026_7,100,RND,169,6.75
j12020_9,100,RND,81,3.5
j12045_5,100,RND,116,5.07
j12030_7,100,RND,102,4.12
j12011_2,100,RND,167,5.86
j12012_5,100,RND,179,5.1
j12049_1,100,RND,103,5.63
j12046_2,100,RND,224,9.51
