projectName, it, alpha, makespan, duration;
j1205_3,100,RND,76,4.37
j1205_3,200,RND,77,8.32
j12020_1,100,RND,98,4.29
j12020_1,200,RND,97,8.92
j12055_3,100,RND,134,6.96
j12055_3,200,RND,134,13.34
j1203_10,100,RND,108,4.75
j1203_10,200,RND,110,10.0
j12056_4,100,RND,237,12.36
j12056_4,200,RND,240,25.3
j12033_8,100,RND,120,5.44
j12033_8,200,RND,118,10.67
j12059_7,100,RND,123,5.98
j12059_7,200,RND,119,12.45
j12023_6,100,RND,108,5.84
j12023_6,200,RND,109,10.46
j12049_9,100,RND,112,5.44
j12049_9,200,RND,108,10.7
j12018_10,100,RND,113,3.97
j12018_10,200,RND,110,7.85
j1206_4,100,RND,167,5.83
j1206_4,200,RND,165,11.54
j1209_7,100,RND,87,3.39
j1209_7,200,RND,87,6.76
j12060_10,100,RND,96,4.86
j12060_10,200,RND,96,9.88
j12025_8,100,RND,85,4.06
j12025_8,200,RND,86,8.16
j12025_10,100,RND,95,5.32
j12025_10,200,RND,96,8.98
j12040_4,100,RND,124,5.42
j12040_4,200,RND,123,9.92
j12035_6,100,RND,89,4.24
j12035_6,200,RND,90,8.55
j12014_3,100,RND,99,3.47
j12014_3,200,RND,99,6.94
j12036_1,100,RND,226,7.95
j12036_1,200,RND,218,16.47
j12017_4,100,RND,132,4.99
j12017_4,200,RND,130,9.73
j12018_7,100,RND,128,3.78
j12018_7,200,RND,125,8.06
j12039_2,100,RND,129,5.54
j12039_2,200,RND,126,11.72
j12043_3,100,RND,101,6.73
j12043_3,200,RND,102,13.23
j12042_2,100,RND,140,7.6
j12042_2,200,RND,137,14.86
j12044_10,100,RND,106,6.01
j12044_10,200,RND,106,11.87
j12038_3,100,RND,162,7.07
j12038_3,200,RND,162,12.02
j12019_6,100,RND,106,3.8
j12019_6,200,RND,105,8.37
j12016_5,100,RND,216,7.07
j12016_5,200,RND,215,14.38
j12015_2,100,RND,86,3.95
j12015_2,200,RND,83,8.65
j12034_7,100,RND,121,5.32
j12034_7,200,RND,120,10.55
j12041_5,100,RND,140,6.96
j12041_5,200,RND,142,13.66
