projectName, alpha, makespan, duration;
j1209_8,0.34,86,1.7857441902160645;
j12052_8,0.34,134,4.008965969085693;
j1205_6,0.34,91,1.741684913635254;
j12036_1,0.34,133,3.976412773132324;
j12029_10,0.34,101,2.3031418323516846;
j12011_7,0.34,111,2.901538848876953;
j12041_9,0.34,119,3.056756019592285;
j1202_3,0.34,97,1.8237249851226807;
j12024_10,0.34,93,2.146960973739624;
j12030_5,0.34,90,2.114070177078247;
j12019_2,0.34,89,1.8957388401031494;
j12060_9,0.34,103,2.5699501037597656;
j12017_8,0.34,96,2.185119867324829;
j12037_7,0.34,116,3.0888519287109375;
j12030_9,0.34,94,2.155451774597168;
j12023_7,0.34,106,2.2933669090270996;
j12025_7,0.34,96,2.1319808959960938;
j12024_7,0.34,120,2.2780301570892334;
j12020_9,0.34,81,1.825929880142212;
j12053_1,0.34,146,3.486786127090454;
j12050_6,0.34,106,2.568589210510254;
j12058_6,0.34,126,3.416909694671631;
j12034_9,0.34,96,2.279655933380127;
j12026_9,0.34,154,4.1266679763793945;
j12025_2,0.34,109,2.3970019817352295;
j12012_8,0.34,95,2.1472182273864746;
j12039_6,0.34,105,2.4220800399780273;
j12050_9,0.34,103,2.6993491649627686;
j12049_1,0.34,101,2.816282033920288;
j12043_10,0.34,115,2.881070137023926;
j12020_10,0.34,88,1.9208641052246094;
j12036_8,0.34,111,3.637101173400879;
j12027_2,0.34,108,2.4883081912994385;
j12013_7,0.34,110,2.155564785003662;
j12031_10,0.34,155,5.211318016052246;
j12039_4,0.34,90,2.339784860610962;
j1208_5,0.34,102,2.0672988891601562;
j12054_2,0.34,138,3.328972101211548;
j12013_6,0.34,96,1.9436209201812744;
j12046_8,0.34,140,4.434893846511841;
j12053_4,0.34,138,3.3870608806610107;
j12023_1,0.34,117,2.582717180252075;
j12015_5,0.34,88,1.7770886421203613;
j12029_2,0.34,93,2.20419979095459;
j12031_9,0.34,137,4.089720249176025;
j1203_6,0.34,112,2.0406579971313477;
j12028_3,0.34,111,2.42431378364563;
j12011_6,0.34,130,3.395127058029175;
j12020_1,0.34,92,1.8643739223480225;
j12028_6,0.34,106,2.359597682952881;
j1209_8,0.37,88,1.6620290279388428;
j12052_8,0.37,135,4.026952028274536;
j1205_6,0.37,91,1.750676155090332;
j12036_1,0.37,131,3.997507095336914;
j12029_10,0.37,103,2.289486885070801;
j12011_7,0.37,112,2.862802028656006;
j12041_9,0.37,118,3.2021491527557373;
j1202_3,0.37,95,1.8380589485168457;
j12024_10,0.37,94,2.131078004837036;
j12030_5,0.37,90,2.12925124168396;
j12019_2,0.37,89,1.916226863861084;
j12060_9,0.37,103,2.587089776992798;
j12017_8,0.37,97,2.1648449897766113;
j12037_7,0.37,112,3.099533796310425;
j12030_9,0.37,94,2.1436920166015625;
j12023_7,0.37,106,2.30008602142334;
j12025_7,0.37,95,2.126905679702759;
j12024_7,0.37,116,2.290180206298828;
j12020_9,0.37,81,1.804513931274414;
j12053_1,0.37,146,3.5133960247039795;
j12050_6,0.37,105,2.582810878753662;
j12058_6,0.37,124,3.4192230701446533;
j12034_9,0.37,97,2.2939441204071045;
j12026_9,0.37,159,4.076914310455322;
j12025_2,0.37,110,2.4150331020355225;
j12012_8,0.37,93,2.165281057357788;
j12039_6,0.37,101,2.404783248901367;
j12050_9,0.37,104,2.669811964035034;
j12049_1,0.37,101,2.84997296333313;
j12043_10,0.37,115,2.8657209873199463;
j12020_10,0.37,87,1.8667521476745605;
j12036_8,0.37,111,3.5586369037628174;
j12027_2,0.37,108,2.5057530403137207;
j12013_7,0.37,112,2.1388468742370605;
j12031_10,0.37,154,4.708020925521851;
j12039_4,0.37,89,2.335566997528076;
j1208_5,0.37,102,2.077402114868164;
j12054_2,0.37,137,3.2349092960357666;
j12013_6,0.37,97,1.9686510562896729;
j12046_8,0.37,147,4.40274715423584;
j12053_4,0.37,132,3.3542301654815674;
j12023_1,0.37,116,2.5458812713623047;
j12015_5,0.37,88,1.7818241119384766;
j12029_2,0.37,93,2.1538302898406982;
j12031_9,0.37,136,4.113529920578003;
j1203_6,0.37,112,2.069499969482422;
j12028_3,0.37,111,2.4483630657196045;
j12011_6,0.37,141,3.4098241329193115;
j12020_1,0.37,91,1.8480641841888428;
j12028_6,0.37,104,2.3478269577026367;
j1209_8,0.17,87,1.7057197093963623;
j12052_8,0.17,137,3.95322322845459;
j1205_6,0.17,90,1.7422289848327637;
j12036_1,0.17,130,4.008632183074951;
j12029_10,0.17,102,2.3062801361083984;
