projectName, alpha, makespan, duration;
j6014_5,100,RND,60,0.98
j6014_5,200,RND,60,1.81
j6040_2,100,RND,82,1.31
j6040_2,200,RND,82,2.48
j6026_9,100,RND,72,1.17
j6026_9,200,RND,72,2.38
j6043_5,100,RND,66,1.2
j6043_5,200,RND,65,2.39
j601_7,100,RND,71,1.08
j601_7,200,RND,71,2.26
j6039_4,100,RND,93,1.65
j6039_4,200,RND,93,3.01
j6018_1,100,RND,93,1.37
j6018_1,200,RND,82,2.73
j6017_2,100,RND,79,1.24
j6017_2,200,RND,74,2.55
j6036_7,100,RND,72,1.19
j6036_7,200,RND,72,2.53
j6030_9,100,RND,107,1.57
j6030_9,200,RND,108,3.05
j607_9,100,RND,45,0.75
j607_9,200,RND,45,1.54
j6020_7,100,RND,75,1.14
j6020_7,200,RND,75,2.19
j6046_10,100,RND,92,1.4
j6046_10,200,RND,91,6.8
j6027_10,100,RND,58,2.06
j6027_10,200,RND,58,4.25
j6022_1,100,RND,71,1.09
j6022_1,200,RND,69,2.14
j6021_6,100,RND,92,1.54
j6021_6,200,RND,95,4.63
j6031_8,100,RND,76,1.55
j6031_8,200,RND,76,2.52
j606_8,100,RND,80,1.18
j606_8,200,RND,78,2.24
j6037_6,100,RND,107,1.89
j6037_6,200,RND,106,3.78
j6016_3,100,RND,54,0.93
j6016_3,200,RND,54,1.88
j6038_5,100,RND,115,1.69
j6038_5,200,RND,113,3.44
j6042_4,100,RND,109,1.91
j6042_4,200,RND,108,4.02
j6027_8,100,RND,93,1.33
j6027_8,200,RND,92,2.63
j6041_3,100,RND,102,1.85
j6041_3,200,RND,101,3.6
j6034_1,100,RND,70,1.27
j6034_1,200,RND,70,2.38
j6015_4,100,RND,76,0.89
j6015_4,200,RND,76,1.77
j603_1,100,RND,61,0.87
j603_1,200,RND,61,1.74
j6043_1,100,RND,110,1.76
j6043_1,200,RND,109,3.57
j6017_6,100,RND,71,1.33
j6017_6,200,RND,69,2.85
j6036_3,100,RND,82,1.43
j6036_3,200,RND,82,2.65
j6018_5,100,RND,81,1.13
j6018_5,200,RND,81,2.27
j601_3,100,RND,75,1.21
j601_3,200,RND,71,2.23
j602_4,100,RND,79,0.99
j602_4,200,RND,79,2.06
j6014_1,100,RND,66,0.87
j6014_1,200,RND,66,1.75
j6035_4,100,RND,73,1.26
j6035_4,200,RND,73,2.65
j6018_10,100,RND,100,1.36
j6018_10,200,RND,100,2.63
j6040_6,100,RND,70,1.27
j6040_6,200,RND,70,2.64
j6023_4,100,RND,86,1.27
j6023_4,200,RND,86,2.41
j6046_8,100,RND,77,1.41
j6046_8,200,RND,77,2.64
j6025_10,100,RND,120,1.55
j6025_10,200,RND,116,3.16
j6011_8,100,RND,70,1.01
j6011_8,200,RND,70,2.04
j6020_3,100,RND,70,1.05
j6020_3,200,RND,70,2.11
j6021_2,100,RND,118,1.77
j6021_2,200,RND,118,3.79
j6044_10,100,RND,66,1.23
j6044_10,200,RND,66,2.5
j6010_9,100,RND,75,1.02
j6010_9,200,RND,75,2.08
j6047_9,100,RND,77,1.26
j6047_9,200,RND,77,2.57
j6022_5,100,RND,77,1.12
j6022_5,200,RND,77,2.25
j6041_7,100,RND,144,2.54
j6041_7,200,RND,137,4.93
j603_5,100,RND,84,1.03
j603_5,200,RND,84,2.04
j6034_5,100,RND,81,1.32
j6034_5,200,RND,81,2.67
j6019_4,100,RND,68,1.12
j6019_4,200,RND,68,2.3
j609_10,100,RND,97,1.4
j609_10,200,RND,97,2.97
j6038_1,100,RND,82,1.3
j6038_1,200,RND,79,2.66
j6037_2,100,RND,93,1.7
j6037_2,200,RND,92,3.33
j6016_7,100,RND,83,0.93
j6016_7,200,RND,83,1.87
j6039_1,100,RND,81,1.31
j6039_1,200,RND,81,2.68
j6018_4,100,RND,72,1.04
j6018_4,200,RND,72,2.16
j6017_7,100,RND,95,1.27
j6017_7,200,RND,94,2.52
j6036_2,100,RND,76,1.22
j6036_2,200,RND,76,2.48
j601_2,100,RND,76,0.92
j601_2,200,RND,76,1.87
j602_5,100,RND,54,0.81
j602_5,200,RND,54,1.68
j6035_5,100,RND,79,1.19
j6035_5,200,RND,79,2.31
j6040_7,100,RND,69,1.15
j6040_7,200,RND,69,2.41
j6040_10,100,RND,74,3.07
j6040_10,200,RND,74,3.77
j6038_10,100,RND,68,2.83
j6038_10,200,RND,67,3.09
j6046_9,100,RND,73,1.26
j6046_9,200,RND,71,2.47
j6023_5,100,RND,74,1.8
j6023_5,200,RND,73,2.8
j6011_9,100,RND,63,2.22
j6011_9,200,RND,63,7.66
j6020_2,100,RND,79,2.58
j6020_2,200,RND,79,2.46
j6021_3,100,RND,95,4.08
j6021_3,200,RND,93,6.63
j6010_8,100,RND,70,1.17
j6010_8,200,RND,70,3.99
j6022_4,100,RND,77,1.56
j6022_4,200,RND,76,2.5
j6047_8,100,RND,76,1.24
j6047_8,200,RND,75,2.53
j6041_6,100,RND,140,2.21
j6041_6,200,RND,142,4.45
j603_4,100,RND,84,1.04
j603_4,200,RND,82,2.15
j6034_4,100,RND,84,1.33
j6034_4,200,RND,84,2.63
j6015_1,100,RND,86,1.08
j6015_1,200,RND,85,2.1
j6037_3,100,RND,149,2.57
j6037_3,200,RND,151,5.81
j6016_6,100,RND,67,2.15
j6016_6,200,RND,67,2.94
j6019_5,100,RND,74,1.68
j6019_5,200,RND,74,3.24
j6021_10,100,RND,78,1.41
j6021_10,200,RND,77,3.41
j6042_1,100,RND,88,2.25
j6042_1,200,RND,88,2.53
j6014_4,100,RND,71,0.8
j6014_4,200,RND,71,1.57
j6035_1,100,RND,79,1.0
j6035_1,200,RND,79,2.01
j602_1,100,RND,70,0.86
j602_1,200,RND,72,1.73
j6040_3,100,RND,71,1.06
j6040_3,200,RND,71,2.13
j6043_4,100,RND,77,1.1
j6043_4,200,RND,77,2.19
j6026_8,100,RND,92,1.2
j6026_8,200,RND,91,2.39
j601_6,100,RND,64,0.82
j601_6,200,RND,61,1.65
j6023_10,100,RND,69,0.87
j6023_10,200,RND,69,1.73
j6017_3,100,RND,93,1.27
j6017_3,200,RND,93,2.49
j6036_6,100,RND,77,1.11
j6036_6,200,RND,77,2.23
j6039_5,100,RND,76,1.05
j6039_5,200,RND,75,2.09
j6030_8,100,RND,67,0.91
j6030_8,200,RND,67,1.81
j607_8,100,RND,67,0.81
j607_8,200,RND,67,1.58
j6020_6,100,RND,98,1.29
j6020_6,200,RND,98,2.54
j6023_1,100,RND,76,0.93
j6023_1,200,RND,76,1.85
j6021_7,100,RND,104,1.64
j6021_7,200,RND,102,3.29
j6031_9,100,RND,87,1.05
j6031_9,200,RND,87,2.09
j606_9,100,RND,65,0.87
j606_9,200,RND,65,1.73
j6019_1,100,RND,64,0.89
j6019_1,200,RND,64,1.79
j6038_4,100,RND,60,1.04
j6038_4,200,RND,59,2.08
j6037_7,100,RND,121,1.72
j6037_7,200,RND,116,3.51
j6016_2,100,RND,65,0.7
j6016_2,200,RND,65,1.4
j6027_9,100,RND,77,0.99
j6027_9,200,RND,77,2.03
j6042_5,100,RND,76,1.16
j6042_5,200,RND,76,2.29
j6041_2,100,RND,120,1.61
j6041_2,200,RND,114,3.13
j6042_10,100,RND,92,1.35
j6042_10,200,RND,91,2.7
j6015_5,100,RND,71,0.79
j6015_5,200,RND,72,1.56
j6045_1,100,RND,103,1.52
j6045_1,200,RND,98,3.05
j6011_6,100,RND,71,0.77
j6011_6,200,RND,71,1.53
j6030_3,100,RND,90,1.11
j6030_3,200,RND,89,2.2
j607_3,100,RND,63,0.79
j607_3,200,RND,63,1.57
j604_4,100,RND,66,0.78
j604_4,200,RND,66,1.56
j6012_1,100,RND,60,0.75
j6012_1,200,RND,60,1.51
j6033_4,100,RND,79,1.23
j6033_4,200,RND,79,2.46
j6046_6,100,RND,99,1.36
j6046_6,200,RND,105,2.71
j6024_10,100,RND,67,0.83
j6024_10,200,RND,67,1.69
j6040_8,100,RND,81,1.03
j6040_8,200,RND,81,2.05
j6025_4,100,RND,114,1.48
j6025_4,200,RND,112,2.95
j6019_10,100,RND,81,0.97
j6019_10,200,RND,81,1.93
j6017_8,100,RND,90,1.15
j6017_8,200,RND,91,2.31
j6026_3,100,RND,72,1.13
j6026_3,200,RND,75,2.22
j6027_2,100,RND,77,0.98
j6027_2,200,RND,77,1.96
j6028_1,100,RND,93,0.93
j6028_1,200,RND,93,1.85
j608_10,100,RND,98,0.92
j608_10,200,RND,98,1.85
j6016_9,100,RND,55,0.7
j6016_9,200,RND,55,1.41
j6024_5,100,RND,77,1.01
j6024_5,200,RND,77,1.96
j6041_9,100,RND,142,2.03
j6041_9,200,RND,133,4.03
j6047_7,100,RND,69,0.97
j6047_7,200,RND,69,1.96
j6048_4,100,RND,63,0.93
j6048_4,200,RND,63,1.88
j605_5,100,RND,111,1.16
j605_5,200,RND,110,2.23
j6032_5,100,RND,78,0.95
j6032_5,200,RND,78,1.86
j6031_2,100,RND,75,0.91
j6031_2,200,RND,75,1.81
j6010_7,100,RND,75,0.91
j6010_7,200,RND,77,1.81
j6045_10,100,RND,123,1.82
j6045_10,200,RND,120,3.65
j609_1,100,RND,90,1.19
j609_1,200,RND,90,2.37
j606_2,100,RND,68,0.77
j606_2,200,RND,69,1.55
j6012_5,100,RND,64,0.78
j6012_5,200,RND,64,1.55
j6046_2,100,RND,83,1.16
j6046_2,200,RND,81,2.38
j6045_5,100,RND,111,1.61
j6045_5,200,RND,106,3.25
j6020_9,100,RND,75,0.83
j6020_9,200,RND,75,1.67
j608_4,100,RND,65,0.71
j608_4,200,RND,65,1.42
j607_7,100,RND,90,1.0
j607_7,200,RND,90,2.04
j6011_2,100,RND,62,0.78
j6011_2,200,RND,62,1.54
j6030_7,100,RND,87,1.1
j6030_7,200,RND,89,2.2
j6047_10,100,RND,70,1.06
j6047_10,200,RND,71,2.14
j6036_9,100,RND,87,1.15
j6036_9,200,RND,87,2.26
j601_9,100,RND,91,0.97
j601_9,200,RND,91,1.95
j6026_7,100,RND,73,1.0
j6026_7,200,RND,73,2.01
j6029_4,100,RND,147,1.86
j6029_4,200,RND,145,3.71
j6024_1,100,RND,66,0.84
j6024_1,200,RND,66,1.69
j6028_5,100,RND,72,0.91
j6028_5,200,RND,72,1.82
