projectName, it, alpha, makespan, duration;
j12010_5,100,0.25,100,3.77
j12010_5,100,0.5,99,3.74
j12010_5,100,0.75,99,3.8
j12010_5,100,RND,98,3.73
j12010_5,200,0.25,100,7.36
j12010_5,200,0.5,99,7.45
j12010_5,200,0.75,98,7.43
j12010_5,200,RND,98,7.41
j12017_9,100,0.25,140,4.49
j12017_9,100,0.5,143,4.56
j12017_9,100,0.75,136,4.5
j12017_9,100,RND,144,4.46
j12017_9,200,0.25,140,8.96
j12017_9,200,0.5,139,9.04
j12017_9,200,0.75,140,8.95
j12017_9,200,RND,142,8.92
j12026_7,100,0.25,179,6.86
j12026_7,100,0.5,175,6.83
j12026_7,100,0.75,176,6.74
j12026_7,100,RND,177,6.81
j12026_7,200,0.25,174,13.8
j12026_7,200,0.5,173,13.59
j12026_7,200,0.75,180,13.51
j12026_7,200,RND,176,13.66
j1205_3,100,0.25,77,3.42
j1205_3,100,0.5,76,3.44
j1205_3,100,0.75,77,3.47
j1205_3,100,RND,77,3.47
j1205_3,200,0.25,76,6.87
j1205_3,200,0.5,77,6.95
j1205_3,200,0.75,77,6.95
j1205_3,200,RND,77,6.89
j12053_8,100,0.25,148,6.51
j12053_8,100,0.5,147,6.5
j12053_8,100,0.75,150,6.42
j12053_8,100,RND,146,6.53
j12053_8,200,0.25,148,13.04
j12053_8,200,0.5,144,13.03
j12053_8,200,0.75,152,13.67
j12053_8,200,RND,149,13.02
j12027_2,100,0.25,124,4.88
j12027_2,100,0.5,125,4.89
j12027_2,100,0.75,128,4.79
j12027_2,100,RND,121,4.86
j12027_2,200,0.25,122,9.75
j12027_2,200,0.5,121,9.67
j12027_2,200,0.75,123,9.56
j12027_2,200,RND,126,10.34
j12015_5,100,0.25,88,3.58
j12015_5,100,0.5,88,3.47
j12015_5,100,0.75,88,3.52
j12015_5,100,RND,88,3.5
j12015_5,200,0.25,88,6.99
j12015_5,200,0.5,88,6.95
j12015_5,200,0.75,88,7.02
j12015_5,200,RND,88,6.98
j1203_9,100,0.25,87,3.54
j1203_9,100,0.5,89,3.57
j1203_9,100,0.75,87,3.56
j1203_9,100,RND,87,3.54
j1203_9,200,0.25,88,7.15
j1203_9,200,0.5,87,7.11
j1203_9,200,0.75,88,7.22
j1203_9,200,RND,87,7.1
j12027_5,100,0.25,117,4.77
j12027_5,100,0.5,119,4.86
j12027_5,100,0.75,119,4.8
j12027_5,100,RND,116,4.77
j12027_5,200,0.25,114,9.6
j12027_5,200,0.5,116,9.75
j12027_5,200,0.75,118,9.64
j12027_5,200,RND,117,9.62
j12024_7,100,0.25,120,4.48
j12024_7,100,0.5,116,4.51
j12024_7,100,0.75,115,4.52
j12024_7,100,RND,113,4.52
j12024_7,200,0.25,120,9.01
j12024_7,200,0.5,116,8.96
j12024_7,200,0.75,111,8.92
j12024_7,200,RND,110,8.96
j12032_1,100,0.25,158,5.56
j12032_1,100,0.5,149,5.57
j12032_1,100,0.75,151,5.51
j12032_1,100,RND,159,5.51
j12032_1,200,0.25,154,11.97
j12032_1,200,0.5,154,11.29
j12032_1,200,0.75,152,11.13
j12032_1,200,RND,157,12.61
j12053_5,100,0.25,130,6.06
j12053_5,100,0.5,130,6.02
j12053_5,100,0.75,123,5.95
j12053_5,100,RND,127,6.07
j12053_5,200,0.25,126,12.06
j12053_5,200,0.5,125,12.09
j12053_5,200,0.75,127,11.93
j12053_5,200,RND,124,11.96
j1206_2,100,0.25,146,4.57
j1206_2,100,0.5,145,4.66
j1206_2,100,0.75,150,4.64
j1206_2,100,RND,150,4.57
j1206_2,200,0.25,136,9.24
j1206_2,200,0.5,134,9.25
j1206_2,200,0.75,145,9.27
j1206_2,200,RND,146,9.31
j12047_9,100,0.25,155,7.3
j12047_9,100,0.5,151,7.29
j12047_9,100,0.75,151,7.34
j12047_9,100,RND,156,7.37
j12047_9,200,0.25,156,14.72
j12047_9,200,0.5,150,14.7
j12047_9,200,0.75,151,14.62
j12047_9,200,RND,156,14.77
j12029_5,100,0.25,109,4.47
j12029_5,100,0.5,106,4.57
j12029_5,100,0.75,110,4.46
j12029_5,100,RND,107,4.49
j12029_5,200,0.25,106,8.97
j12029_5,200,0.5,110,8.99
j12029_5,200,0.75,105,8.88
j12029_5,200,RND,108,8.9
j12032_4,100,0.25,150,5.78
j12032_4,100,0.5,152,5.86
j12032_4,100,0.75,151,5.75
j12032_4,100,RND,152,5.84
j12032_4,200,0.25,153,12.0
j12032_4,200,0.5,153,11.62
j12032_4,200,0.75,153,11.45
j12032_4,200,RND,152,11.6
j12043_10,100,0.25,115,5.58
j12043_10,100,0.5,114,5.62
j12043_10,100,0.75,112,5.53
j12043_10,100,RND,115,5.6
j12043_10,200,0.25,113,11.19
j12043_10,200,0.5,114,11.15
j12043_10,200,0.75,112,11.1
j12043_10,200,RND,114,11.21
j1205_9,100,0.25,107,3.68
j1205_9,100,0.5,107,3.65
j1205_9,100,0.75,107,3.64
j1205_9,100,RND,107,3.64
j1205_9,200,0.25,107,7.22
j1205_9,200,0.5,107,7.26
