projectName, alpha, makespan, duration;
j9035_6,100,0.25,73,2.61
j9035_6,100,0.5,73,2.6
j9035_6,100,0.75,73,2.66
j9035_6,100,RND,73,2.65
j9035_6,200,0.25,73,5.38
j9035_6,200,0.5,73,5.29
j9035_6,200,0.75,73,5.11
j9035_6,200,RND,73,5.32
j904_10,100,0.25,69,2.01
j904_10,100,0.5,69,1.99
j904_10,100,0.75,69,1.93
j904_10,100,RND,69,2.08
j904_10,200,0.25,69,4.11
j904_10,200,0.5,69,4.03
j904_10,200,0.75,69,3.9
j904_10,200,RND,69,3.93
j9033_5,100,0.25,133,3.63
j9033_5,100,0.5,130,3.64
j9033_5,100,0.75,129,3.87
j9033_5,100,RND,128,3.71
j9033_5,200,0.25,132,7.37
j9033_5,200,0.5,130,7.26
j9033_5,200,0.75,127,7.39
j9033_5,200,RND,117,7.49
j902_2,100,0.25,128,2.96
j902_2,100,0.5,120,2.83
j902_2,100,0.75,119,2.82
j902_2,100,RND,120,2.77
j902_2,200,0.25,122,5.75
j902_2,200,0.5,120,5.69
j902_2,200,0.75,119,5.54
j902_2,200,RND,117,5.58
j9025_2,100,0.25,139,3.58
j9025_2,100,0.5,136,3.75
j9025_2,100,0.75,143,3.53
j9025_2,100,RND,135,3.57
j9025_2,200,0.25,137,7.22
j9025_2,200,0.5,140,7.06
j9025_2,200,0.75,138,7.23
j9025_2,200,RND,139,7.17
j9037_7,100,0.25,131,4.0
j9037_7,100,0.5,127,4.06
j9037_7,100,0.75,131,3.98
j9037_7,100,RND,129,3.95
j9037_7,200,0.25,131,8.09
j9037_7,200,0.5,126,7.94
j9037_7,200,0.75,124,8.0
j9037_7,200,RND,127,8.04
j9042_1,100,0.25,118,3.46
j9042_1,100,0.5,116,3.52
j9042_1,100,0.75,116,3.52
j9042_1,100,RND,114,3.52
j9042_1,200,0.25,118,7.08
j9042_1,200,0.5,116,7.11
j9042_1,200,0.75,115,6.81
j9042_1,200,RND,114,7.1
j908_6,100,0.25,71,2.13
j908_6,100,0.5,71,2.1
j908_6,100,0.75,71,2.33
j908_6,100,RND,71,2.15
j908_6,200,0.25,71,4.2
j908_6,200,0.5,71,4.21
j908_6,200,0.75,71,4.46
j908_6,200,RND,71,4.24
j9023_9,100,0.25,129,3.52
j9023_9,100,0.5,129,3.57
j9023_9,100,0.75,127,3.4
j9023_9,100,RND,127,3.41
j9023_9,200,0.25,129,7.1
j9023_9,200,0.5,127,7.01
j9023_9,200,0.75,127,7.13
j9023_9,200,RND,127,7.07
j9031_7,100,0.25,98,2.88
j9031_7,100,0.5,98,2.96
j9031_7,100,0.75,98,2.9
j9031_7,100,RND,98,2.81
j9031_7,200,0.25,98,5.78
j9031_7,200,0.5,98,5.88
j9031_7,200,0.75,98,6.03
j9031_7,200,RND,98,5.99
j903_5,100,0.25,81,2.15
j903_5,100,0.5,79,2.14
j903_5,100,0.75,76,2.37
j903_5,100,RND,76,2.23
j903_5,200,0.25,81,4.57
j903_5,200,0.5,79,4.38
j903_5,200,0.75,76,4.48
j903_5,200,RND,76,4.51
j9047_5,100,0.25,94,2.86
j9047_5,100,0.5,94,2.89
j9047_5,100,0.75,94,2.94
j9047_5,100,RND,94,2.95
j9047_5,200,0.25,94,5.87
j9047_5,200,0.5,94,5.73
j9047_5,200,0.75,94,5.91
j9047_5,200,RND,94,5.84
j9026_2,100,0.25,100,2.48
j9026_2,100,0.5,93,2.49
j9026_2,100,0.75,94,2.59
j9026_2,100,RND,94,2.55
j9026_2,200,0.25,100,4.96
j9026_2,200,0.5,94,5.05
j9026_2,200,0.75,92,5.04
j9026_2,200,RND,93,5.13
j9041_7,100,0.25,175,5.11
j9041_7,100,0.5,178,5.3
j9041_7,100,0.75,181,5.42
j9041_7,100,RND,177,5.22
j9041_7,200,0.25,179,10.64
j9041_7,200,0.5,181,10.64
j9041_7,200,0.75,175,10.68
j9041_7,200,RND,176,10.8
j9029_5,100,0.25,132,3.76
j9029_5,100,0.5,134,3.65
j9029_5,100,0.75,134,3.79
j9029_5,100,RND,131,3.8
j9029_5,200,0.25,130,7.22
j9029_5,200,0.5,132,7.45
j9029_5,200,0.75,132,7.49
j9029_5,200,RND,131,7.49
j9016_6,100,0.25,75,1.86
j9016_6,100,0.5,75,1.91
j9016_6,100,0.75,75,1.95
j9016_6,100,RND,75,1.95
j9016_6,200,0.25,75,3.93
j9016_6,200,0.5,75,4.02
j9016_6,200,0.75,75,3.93
j9016_6,200,RND,75,4.85
j9014_5,100,0.25,89,2.45
j9014_5,100,0.5,89,2.38
j9014_5,100,0.75,87,2.34
j9014_5,100,RND,90,2.44
j9014_5,200,0.25,90,4.66
j9014_5,200,0.5,88,4.68
j9014_5,200,0.75,90,4.74
j9014_5,200,RND,87,4.85
j9030_8,100,0.25,95,2.7
j9030_8,100,0.5,96,2.65
j9030_8,100,0.75,92,2.71
j9030_8,100,RND,95,2.62
j9030_8,200,0.25,95,5.4
j9030_8,200,0.5,95,5.31
j9030_8,200,0.75,95,5.45
j9030_8,200,RND,95,5.32
j9027_9,100,0.25,85,2.74
j9027_9,100,0.5,85,2.88
j9027_9,100,0.75,85,2.75
j9027_9,100,RND,85,2.75
j9027_9,200,0.25,85,5.51
j9027_9,200,0.5,85,5.77
j9027_9,200,0.75,85,5.43
j9027_9,200,RND,85,5.52
j9011_5,100,0.25,82,2.26
j9011_5,100,0.5,82,2.28
j9011_5,100,0.75,82,2.3
j9011_5,100,RND,82,2.52
j9011_5,200,0.25,82,4.58
j9011_5,200,0.5,82,4.56
j9011_5,200,0.75,82,4.63
j9011_5,200,RND,82,4.62
j9028_1,100,0.25,81,2.57
j9028_1,100,0.5,81,2.53
j9028_1,100,0.75,81,2.54
j9028_1,100,RND,81,2.6
j9028_1,200,0.25,81,5.21
j9028_1,200,0.5,81,5.43
