projectName, makespan, duration;
j1205_3,76,0.8295481204986572;
j12020_1,90,0.8839111328125;
j12055_3,127,1.4300827980041504;
j1203_10,107,1.0260717868804932;
j12056_4,87,1.27681303024292;
j12033_8,99,1.0667901039123535;
j12059_7,91,1.17861008644104;
j12023_6,108,1.1980867385864258;
j12049_9,98,1.284897804260254;
j12018_10,85,0.9066591262817383;
j1206_4,107,1.0041651725769043;
j1209_7,81,0.8259940147399902;
j12060_10,86,1.2017428874969482;
j12025_8,79,0.9871420860290527;
j12025_10,94,1.064666986465454;
j12040_4,113,1.1904511451721191;
j12035_6,87,1.0356967449188232;
j12014_3,89,0.8068361282348633;
j12036_1,99,1.0854969024658203;
j12017_4,92,0.8992540836334229;
j12018_7,90,0.8289389610290527;
j12039_2,105,1.193687915802002;
j12043_3,98,1.3043372631072998;
j12042_2,131,1.6026561260223389;
j12044_10,103,1.2631559371948242;
j12038_3,106,1.0453920364379883;
j12019_6,81,0.8736820220947266;
j12016_5,93,0.943479061126709;
j12015_2,76,0.8666369915008545;
j12034_7,106,1.0774619579315186;
j12041_5,119,1.4320590496063232;
j12024_9,77,1.0655386447906494;
j12048_8,107,1.2571911811828613;
j12022_7,125,1.2364869117736816;
j1208_6,83,0.9288849830627441;
j1207_5,89,0.8123128414154053;
j12058_6,104,1.2991671562194824;
j12032_9,93,1.2146751880645752;
j12057_5,97,1.2801311016082764;
j12054_2,137,1.554168701171875;
j1204_2,108,0.8797681331634521;
j12059_3,109,1.3826308250427246;
j12012_9,85,0.9428699016571045;
j1209_3,88,0.9119148254394531;
j12023_2,119,1.2401909828186035;
j12020_5,70,0.7678060531616211;
j12045_9,115,1.3373591899871826;
j1205_7,85,0.8213820457458496;
j12055_7,106,1.2436459064483643;
j12018_3,73,0.816986083984375;
j12039_6,96,1.154857873916626;
j12053_9,131,1.4274439811706543;
j12036_5,96,1.1115882396697998;
j12046_10,107,1.3035380840301514;
j1203_9,87,0.8602406978607178;
j12029_8,81,0.9710941314697266;
j12043_7,119,1.5729222297668457;
j12035_2,112,1.1866989135742188;
j12014_7,90,0.8598649501800537;
j12015_6,98,0.9513871669769287;
j12034_3,99,1.018186092376709;
j12041_1,115,1.4660358428955078;
j12060_4,102,1.2231900691986084;
j12027_10,108,1.2417778968811035;
j1202_8,82,0.9015138149261475;
j12042_6,100,1.4211442470550537;
j12028_9,98,1.159317970275879;
j12016_1,72,0.8331329822540283;
