projectName, makespan, duration;
j3021_1,74,0.10420513153076172;
j304_9,39,0.05317091941833496;
j3032_8,55,0.06540894508361816;
j3048_9,60,0.0744321346282959;
j3022_6,55,0.07931303977966309;
j3024_8,39,0.0530240535736084;
j3041_4,65,0.11928796768188477;
j3034_6,52,0.07450604438781738;
j3015_3,51,0.05702805519104004;
j302_7,50,0.05933213233947754;
j307_10,45,0.06374025344848633;
j3010_10,41,0.059912919998168945;
j3019_7,55,0.06795597076416016;
j3038_2,54,0.08948302268981934;
j3037_1,54,0.11560893058776855;
j3016_4,48,0.06100296974182129;
j3042_3,58,0.08617115020751953;
j3043_2,44,0.06871604919433594;
j3017_5,43,0.0768730640411377;
j3039_3,56,0.07423210144042969;
j3018_6,54,0.08458185195922852;
j3014_2,53,0.0684821605682373;
j3035_7,66,0.0808420181274414;
j303_6,55,0.0758519172668457;
j3040_5,67,0.08445000648498535;
j3034_10,50,0.06880784034729004;
j3025_9,68,0.12084794044494629;
j3023_7,62,0.08362698554992676;
j305_8,60,0.08922982215881348;
j3033_9,64,0.09255075454711914;
j3013_9,61,0.08994913101196289;
j3022_2,48,0.06977725028991699;
j3021_5,54,0.07927298545837402;
j3044_9,67,0.07543396949768066;
j308_9,40,0.05665993690490723;
j3037_5,70,0.10307192802429199;
j3019_3,84,0.09180712699890137;
j3038_6,66,0.08300185203552246;
j301_4,59,0.07327723503112793;
j3042_7,70,0.08817505836486816;
j3028_8,54,0.07387804985046387;
j3036_10,61,0.07630610466003418;
j302_3,47,0.052345991134643555;
j3034_2,47,0.061605215072631836;
j3015_7,49,0.05948901176452637;
j303_2,42,0.055676937103271484;
j3014_6,36,0.055368900299072266;
j3035_3,61,0.08707809448242188;
j3040_1,52,0.07203364372253418;
j3029_9,68,0.13706493377685547;
j3043_6,61,0.07677483558654785;
j3039_7,51,0.07959175109863281;
j3018_2,58,0.06974577903747559;
j3017_1,52,0.08436107635498047;
j3036_4,60,0.07921624183654785;
j305_10,64,0.08169984817504883;
j3012_10,58,0.06195688247680664;
j309_8,64,0.11345410346984863;
j3045_8,76,0.11739230155944824;
j3020_4,44,0.05805683135986328;
j3023_3,47,0.062439918518066406;
j3012_8,36,0.05191183090209961;
j3013_8,65,0.11597800254821777;
j301_10,46,0.05609488487243652;
j3016_10,52,0.06048583984375;
j3022_3,62,0.0815589427947998;
j3044_8,50,0.07368206977844238;
j3021_4,60,0.09550309181213379;
j308_8,53,0.06060194969177246;
j3019_2,59,0.07122683525085449;
j3038_7,65,0.08987998962402344;
j3037_4,69,0.1286008358001709;
j3016_1,52,0.05569815635681152;
j301_5,37,0.06555509567260742;
j3028_9,66,0.07559514045715332;
j3042_6,62,0.0865020751953125;
j3041_1,75,0.12236499786376953;
j302_2,51,0.06265807151794434;
j3034_3,65,0.08726620674133301;
j3015_6,72,0.07427406311035156;
j303_3,59,0.06811213493347168;
j3014_7,52,0.06830787658691406;
j3035_2,54,0.07673501968383789;
j3043_7,53,0.0748138427734375;
j3029_8,65,0.11386394500732422;
j3036_5,65,0.07950401306152344;
j3039_6,63,0.09058618545532227;
j3018_3,56,0.07425498962402344;
j309_9,50,0.0818939208984375;
j3020_5,62,0.07968378067016602;
j3032_10,52,0.06897211074829102;
j3045_9,64,0.12452316284179688;
j3023_2,54,0.07722926139831543;
j3012_9,53,0.05908393859863281;
j3030_10,50,0.06795001029968262;
j304_8,56,0.05876803398132324;
j3032_9,66,0.07905101776123047;
j3022_7,58,0.09274029731750488;
j3048_8,45,0.06502079963684082;
j3041_5,76,0.12383413314819336;
j3024_9,44,0.0589900016784668;
j3034_7,55,0.07775497436523438;
j3015_2,48,0.05907464027404785;
j302_6,50,0.060388803482055664;
j301_1,44,0.06519079208374023;
j3016_5,52,0.06301498413085938;
j3019_6,47,0.0654599666595459;
j3038_3,57,0.08335399627685547;
j3042_2,51,0.07634902000427246;
j3048_10,55,0.07047080993652344;
j3043_3,58,0.08435916900634766;
j3039_2,55,0.08226895332336426;
j3018_7,50,0.0621800422668457;
j3017_4,51,0.06803607940673828;
j3036_1,67,0.08680391311645508;
j3014_3,61,0.06803297996520996;
j3029_10,72,0.09411501884460449;
j3035_6,60,0.08062005043029785;
j303_7,49,0.05726885795593262;
j3025_8,53,0.10328197479248047;
j3040_4,58,0.07207703590393066;
j3023_6,51,0.06646895408630371;
j303_10,59,0.06751203536987305;
j305_9,49,0.07394719123840332;
j3014_10,63,0.07045888900756836;
j3033_8,58,0.08492207527160645;
j3020_1,58,0.06664180755615234;
j3037_10,66,0.1088399887084961;
j3015_9,55,0.06179213523864746;
j3024_2,60,0.07806801795959473;
j3028_6,57,0.06591629981994629;
j3042_9,60,0.08754396438598633;
j3027_5,51,0.06857609748840332;
j3038_8,57,0.08570075035095215;
j3031_5,54,0.07430696487426758;
j308_7,42,0.053372859954833984;
j307_4,48,0.056539058685302734;
j3044_7,44,0.0550389289855957;
j3048_3,51,0.06873536109924316;
j304_3,48,0.05500316619873047;
j3032_2,61,0.06771492958068848;
j3013_7,67,0.09575200080871582;
j305_2,66,0.08903193473815918;
j3012_6,54,0.05786490440368652;
j3033_3,50,0.07845783233642578;
j3046_1,61,0.09283804893493652;
j3045_6,86,0.17409110069274902;
j3011_1,56,0.06734013557434082;
j3030_4,55,0.07277393341064453;
j306_5,63,0.07906198501586914;
j309_6,54,0.07988405227661133;
j3039_9,62,0.08366799354553223;
j3026_4,66,0.0882728099822998;
j3043_8,65,0.09107303619384766;
j3029_7,55,0.10333108901977539;
j3013_10,61,0.0869760513305664;
j304_10,49,0.056740760803222656;
j3025_3,59,0.11111187934875488;
j3014_8,56,0.06871604919433594;
j3011_10,39,0.0529630184173584;
j306_10,64,0.07938599586486816;
j3027_1,45,0.0588228702545166;
j3028_2,59,0.07422995567321777;
j3019_9,41,0.05797934532165527;
j302_9,52,0.07169795036315918;
j3034_8,59,0.08122801780700684;
j3024_6,57,0.07616996765136719;
j3047_4,51,0.07579708099365234;
j3022_8,54,0.07594704627990723;
j3048_7,56,0.07569599151611328;
j3032_6,45,0.05824780464172363;
j3013_3,54,0.09824919700622559;
j304_7,57,0.06700611114501953;
j308_3,55,0.06558489799499512;
j3031_1,45,0.06334900856018066;
j3010_4,57,0.07307887077331543;
j3044_3,52,0.06926822662353516;
j3045_2,73,0.16104602813720703;
j309_2,67,0.1031789779663086;
j306_1,56,0.06440401077270508;
j3011_5,51,0.06727409362792969;
j3012_2,48,0.0545201301574707;
j3033_7,60,0.08524227142333984;
j305_6,66,0.09371590614318848;
j3023_9,64,0.08743596076965332;
j3046_5,60,0.08786678314208984;
j3025_7,76,0.12198805809020996;
j303_8,56,0.06618714332580566;
j3035_10,61,0.08146095275878906;
j3035_9,62,0.08340883255004883;
j3018_8,50,0.0691530704498291;
j3029_3,58,0.10779118537902832;
j3028_3,42,0.06315207481384277;
j3019_8,56,0.07296109199523926;
j302_8,54,0.0735468864440918;
j3034_9,62,0.08155488967895508;
j3024_7,48,0.061476945877075195;
j3048_6,59,0.07693600654602051;
j3022_9,77,0.0835871696472168;
j3047_5,47,0.07556509971618652;
j3032_7,36,0.05440568923950195;
j3013_2,46,0.08412408828735352;
j304_6,46,0.05177879333496094;
j308_2,52,0.0570371150970459;
j307_1,56,0.06169772148132324;
j3031_10,55,0.07914900779724121;
j3010_5,44,0.058767080307006836;
j3044_2,55,0.06612777709960938;
j3045_3,78,0.13545775413513184;
j309_3,59,0.09728813171386719;
j3011_4,64,0.06881594657897949;
j3030_1,51,0.07586407661437988;
j3012_3,38,0.04824209213256836;
j3033_6,55,0.07725000381469727;
j305_7,58,0.09384584426879883;
j3015_10,68,0.07045292854309082;
j302_10,43,0.0594019889831543;
j3046_4,65,0.09288716316223145;
j3023_8,51,0.07287812232971191;
j3025_6,54,0.0887610912322998;
j3028_10,60,0.07777786254882812;
j303_9,62,0.07853007316589355;
j3035_8,64,0.08566713333129883;
j3018_9,49,0.06673002243041992;
j3026_1,62,0.08228611946105957;
j3029_2,78,0.1348128318786621;
j3015_8,47,0.06256890296936035;
j3024_3,70,0.07727909088134766;
j3027_4,67,0.08242511749267578;
j3042_8,71,0.09907317161560059;
j3028_7,49,0.059992074966430664;
j3038_9,59,0.0864260196685791;
j3031_4,52,0.0627889633178711;
j3010_1,44,0.0593569278717041;
j307_5,44,0.06395411491394043;
j308_6,48,0.06284809112548828;
j3044_6,58,0.07387590408325195;
j3047_1,62,0.07631587982177734;
j3048_2,55,0.07550787925720215;
j3017_10,73,0.09662604331970215;
j304_2,61,0.07334184646606445;
j3032_3,59,0.07621121406555176;
j3013_6,48,0.08026123046875;
j305_3,64,0.09547972679138184;
j3012_7,56,0.05902910232543945;
j3033_2,57,0.08732008934020996;
j3045_7,81,0.13010811805725098;
j3033_10,50,0.07500982284545898;
j3030_5,55,0.07480907440185547;
j309_7,52,0.08125805854797363;
j306_4,39,0.056018829345703125;
j3039_8,68,0.09014701843261719;
j3029_6,61,0.11181306838989258;
j3043_9,60,0.07795190811157227;
j3026_5,69,0.0933218002319336;
j3025_2,60,0.10209465026855469;
j3014_9,47,0.06627821922302246;
j3047_10,61,0.09500813484191895;
j3016_8,45,0.05579710006713867;
j3027_3,63,0.08363699913024902;
j3024_4,54,0.07086682319641113;
j3041_8,71,0.11893510818481445;
j304_5,60,0.06595516204833984;
j3032_4,70,0.07359790802001953;
j3013_1,50,0.08804893493652344;
j3048_5,59,0.0741119384765625;
j3047_6,55,0.07823801040649414;
j3044_1,52,0.0676889419555664;
j3031_3,60,0.07905983924865723;
j3010_6,43,0.06303620338439941;
j308_1,47,0.0652928352355957;
j307_2,44,0.06024503707885742;
j3011_7,37,0.0513310432434082;
j3030_2,67,0.09132218360900879;
j306_3,49,0.05672407150268555;
j3046_7,57,0.08769798278808594;
j305_4,56,0.08590412139892578;
j3033_5,45,0.07648301124572754;
j3026_10,50,0.07485318183898926;
j3040_9,66,0.08181095123291016;
j3025_5,61,0.09198713302612305;
j3026_2,41,0.06213784217834473;
j3029_1,75,0.1252880096435547;
j3017_9,51,0.0710141658782959;
j3024_10,54,0.06378006935119629;
j3037_9,54,0.08519387245178223;
j301_8,61,0.06981110572814941;
j3027_7,52,0.06986403465270996;
j3028_4,50,0.05796003341674805;
j3021_9,57,0.09880685806274414;
j3044_5,56,0.0802302360534668;
j307_6,36,0.05573320388793945;
j308_5,60,0.07301616668701172;
j3031_7,64,0.07523894309997559;
j3010_2,56,0.07186388969421387;
j3013_5,51,0.08800101280212402;
j304_1,50,0.0615077018737793;
j3047_2,60,0.08106184005737305;
j3019_10,46,0.06791496276855469;
j3048_1,64,0.08794379234313965;
j3046_3,68,0.10570192337036133;
j3012_4,64,0.0729987621307373;
j3033_1,66,0.08952021598815918;
j309_4,63,0.09932065010070801;
j306_7,47,0.0575718879699707;
j3011_3,82,0.08651018142700195;
j3030_6,58,0.08346199989318848;
j3045_4,70,0.11790609359741211;
j3020_8,53,0.06479597091674805;
j3029_5,72,0.13176703453063965;
j3026_6,51,0.07255077362060547;
j3045_10,70,0.12336087226867676;
j3036_8,65,0.08323884010314941;
j3025_1,72,0.12807488441467285;
j3024_1,54,0.0663759708404541;
j3039_10,63,0.08740901947021484;
j3037_8,62,0.1111600399017334;
j301_9,50,0.06812691688537598;
j3028_5,74,0.08583188056945801;
j3027_6,61,0.08139610290527344;
j3044_4,59,0.07609128952026367;
j3021_8,57,0.0907602310180664;
j308_4,49,0.06061220169067383;
j307_7,53,0.063385009765625;
j3031_6,54,0.06889772415161133;
j3010_3,64,0.07676100730895996;
j3041_10,67,0.1388411521911621;
j3032_1,62,0.06908702850341797;
j3013_4,58,0.08536386489868164;
j3047_3,57,0.0785219669342041;
j3046_2,69,0.08777403831481934;
j3012_5,48,0.06393885612487793;
j305_1,48,0.08047008514404297;
j306_6,38,0.06043601036071777;
j309_5,63,0.09372210502624512;
j3011_2,59,0.06374979019165039;
j3030_7,68,0.0784308910369873;
j3020_9,42,0.06142902374267578;
j3045_5,72,0.11913919448852539;
j3020_10,39,0.05482196807861328;
j3026_7,59,0.06939077377319336;
j3029_4,72,0.12406611442565918;
j3036_9,60,0.07226133346557617;
j3016_9,45,0.0517578125;
j3027_2,59,0.07411313056945801;
j3028_1,70,0.07907295227050781;
j308_10,69,0.0716552734375;
j3041_9,75,0.14070487022399902;
j3024_5,52,0.06967020034790039;
j304_4,58,0.061923980712890625;
j3032_5,55,0.06416201591491699;
j3047_7,64,0.09430098533630371;
j3048_4,58,0.07276487350463867;
j3022_10,56,0.08189177513122559;
j3031_2,64,0.0823218822479248;
j3010_7,50,0.062074899673461914;
j307_3,41,0.060183048248291016;
j3011_6,47,0.05849719047546387;
j3030_3,57,0.07998514175415039;
j309_1,70,0.10458183288574219;
j306_2,53,0.06895589828491211;
j3045_1,66,0.13335490226745605;
j3046_6,61,0.09250497817993164;
j305_5,66,0.09172797203063965;
j3043_10,63,0.08331489562988281;
j3012_1,49,0.06197023391723633;
j3033_4,78,0.10989809036254883;
j3025_4,63,0.11175799369812012;
j3040_8,59,0.07480812072753906;
j3026_3,61,0.07564425468444824;
j3017_8,59,0.08593010902404785;
j3018_10,43,0.06780076026916504;
j3031_9,50,0.07295513153076172;
j307_8,46,0.05294322967529297;
j3021_7,61,0.09173727035522461;
j3042_5,53,0.08113598823547363;
j3027_9,59,0.07062911987304688;
j301_6,43,0.06292271614074707;
j3019_1,40,0.06282687187194824;
j3038_4,62,0.08765292167663574;
j3037_7,70,0.11653304100036621;
j3016_2,49,0.05440807342529297;
j3015_5,58,0.06759881973266602;
j3025_10,54,0.08603310585021973;
j302_1,38,0.05702519416809082;
j3041_2,68,0.12376976013183594;
j3040_3,58,0.0845038890838623;
j3014_4,49,0.06606698036193848;
j3035_1,58,0.07800078392028809;
j3017_3,62,0.06806087493896484;
j3036_6,48,0.06247973442077637;
j3039_5,56,0.07726168632507324;
j3026_8,64,0.0918271541595459;
j3043_4,69,0.1061391830444336;
j3044_10,64,0.07616996765136719;
j3020_6,53,0.07333803176879883;
j3030_8,43,0.07086992263793945;
j306_9,53,0.06157708168029785;
j3023_1,67,0.08579516410827637;
j3010_8,55,0.0707390308380127;
j3021_3,66,0.09876513481140137;
j3047_8,51,0.07669782638549805;
j3022_4,42,0.06129622459411621;
j302_5,53,0.06317806243896484;
j3034_4,69,0.08985400199890137;
j3015_1,47,0.058238983154296875;
j3041_6,74,0.14353108406066895;
j3042_1,60,0.08728289604187012;
j3046_10,51,0.07775998115539551;
j3037_3,74,0.11444997787475586;
j3016_6,52,0.06338214874267578;
j3019_5,51,0.05855512619018555;
j301_2,45,0.06495165824890137;
j3039_1,56,0.08434772491455078;
j3018_4,69,0.07855081558227539;
j3017_7,52,0.07494282722473145;
j3036_2,45,0.06348228454589844;
j3040_7,47,0.06331801414489746;
j3027_10,63,0.08072280883789062;
j303_4,104,0.09883904457092285;
j3035_5,61,0.08537507057189941;
j3023_5,49,0.07004785537719727;
j3046_9,47,0.07425522804260254;
j3020_2,71,0.08982419967651367;
j3011_9,70,0.06994104385375977;
j3023_10,63,0.07354974746704102;
j3010_9,50,0.06819987297058105;
j3021_2,54,0.08900785446166992;
j3022_5,52,0.06750726699829102;
j3047_9,67,0.0959470272064209;
j302_4,44,0.0514826774597168;
j3034_5,61,0.08331084251403809;
j3041_7,74,0.12719202041625977;
j3019_4,41,0.05915188789367676;
j309_10,73,0.10842180252075195;
j3038_1,49,0.0782618522644043;
j3037_2,58,0.10796809196472168;
j3016_7,35,0.04622602462768555;
j301_3,47,0.06747698783874512;
j3017_6,71,0.09457588195800781;
j3036_3,62,0.08498311042785645;
j3018_5,51,0.07128763198852539;
j3043_1,58,0.08423876762390137;
j3040_6,62,0.0716407299041748;
j303_5,51,0.06513619422912598;
j3014_1,50,0.06638622283935547;
j3035_4,51,0.07253623008728027;
j3046_8,62,0.08526110649108887;
j3023_4,68,0.08344721794128418;
j3042_10,78,0.09526920318603516;
j3020_3,50,0.06360912322998047;
j3011_8,66,0.07169890403747559;
j3022_1,45,0.06238269805908203;
j3040_10,52,0.07382702827453613;
j3031_8,59,0.06606507301330566;
j307_9,59,0.073638916015625;
j3021_6,61,0.10279083251953125;
j3027_8,68,0.09276604652404785;
j3042_4,49,0.07406902313232422;
j301_7,62,0.0693979263305664;
j3037_6,65,0.10047292709350586;
j3016_3,37,0.05421805381774902;
j3038_5,65,0.10240292549133301;
j3034_1,69,0.08814811706542969;
j3015_4,49,0.0633089542388916;
j3038_10,61,0.08725810050964355;
j3041_3,70,0.11580085754394531;
j3040_2,57,0.07998013496398926;
j3014_5,53,0.07303500175476074;
j303_1,74,0.07823491096496582;
j3039_4,55,0.07894206047058105;
j3018_1,50,0.06763410568237305;
j3017_2,62,0.0803678035736084;
j3036_7,57,0.07202887535095215;
j3043_5,65,0.09843683242797852;
j3026_9,44,0.06618499755859375;
j3020_7,43,0.05362200736999512;
j3030_9,47,0.07334399223327637;
j3021_10,61,0.09917116165161133;
j306_8,44,0.057713985443115234;
